"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",9
"10",11
"11",12
"12",14
"13",15
"14",16
"15",18
"16",19
"17",20
"18",22
"19",23
"20",24
"21",25
"22",26
"23",27
"24",28
"25",29
"26",30
"27",33
"28",34
"29",35
"30",36
"31",37
"32",38
"33",39
"34",43
"35",44
"36",45
"37",46
"38",47
"39",48
"40",51
"41",52
"42",53
"43",54
"44",58
"45",59
"46",60
"47",61
"48",62
"49",63
"50",64
"51",65
"52",66
"53",67
"54",68
"55",69
"56",70
"57",73
"58",74
"59",75
"60",76
"61",77
"62",79
"63",80
"64",81
"65",82
"66",83
"67",84
"68",85
"69",86
"70",87
"71",88
"72",89
"73",90
"74",91
"75",93
"76",94
"77",95
"78",96
"79",98
"80",99
"81",100
"82",101
"83",102
"84",103
"85",104
"86",105
"87",108
"88",109
"89",110
"90",111
"91",112
"92",113
"93",114
"94",116
"95",117
