"","Resample1"
"1",1
"2",2
"3",3
"4",5
"5",6
"6",9
"7",10
"8",11
"9",12
"10",13
"11",14
"12",15
"13",16
"14",17
"15",18
"16",19
"17",20
"18",21
"19",23
"20",24
"21",25
"22",28
"23",29
"24",30
"25",31
"26",32
"27",33
"28",34
"29",35
"30",36
"31",37
"32",38
"33",39
"34",40
"35",42
"36",43
"37",44
"38",45
"39",46
"40",47
"41",49
"42",51
"43",52
"44",53
"45",54
"46",55
"47",56
"48",57
"49",59
"50",60
"51",61
"52",64
"53",66
"54",67
"55",68
"56",69
"57",70
"58",71
"59",72
"60",73
"61",74
"62",77
"63",78
"64",80
"65",81
"66",82
"67",83
"68",84
"69",85
"70",86
"71",87
"72",88
"73",90
"74",91
"75",92
"76",94
"77",95
"78",97
"79",98
"80",99
"81",100
"82",101
"83",103
"84",104
"85",105
"86",106
"87",107
"88",108
"89",110
"90",112
"91",113
"92",114
"93",115
"94",116
"95",117
