"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",9
"10",10
"11",12
"12",13
"13",14
"14",15
"15",16
"16",19
"17",20
"18",21
"19",22
"20",23
"21",25
"22",26
"23",28
"24",29
"25",30
"26",31
"27",32
"28",33
"29",35
"30",37
"31",38
"32",40
"33",41
"34",43
"35",45
"36",46
"37",47
"38",48
"39",49
"40",51
"41",52
"42",54
"43",55
"44",56
"45",57
"46",59
"47",60
"48",61
"49",62
"50",63
"51",64
"52",65
"53",66
"54",67
"55",68
"56",69
"57",70
"58",71
"59",72
"60",73
"61",74
"62",75
"63",76
"64",78
"65",79
"66",81
"67",82
"68",84
"69",85
"70",86
"71",87
"72",89
"73",90
"74",92
"75",93
"76",95
"77",96
"78",98
"79",99
"80",100
"81",101
"82",103
"83",104
"84",105
"85",106
"86",107
"87",108
"88",109
"89",110
"90",111
"91",112
"92",114
"93",115
"94",116
"95",117
