"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",9
"9",10
"10",11
"11",13
"12",15
"13",16
"14",17
"15",18
"16",19
"17",20
"18",23
"19",24
"20",28
"21",30
"22",31
"23",32
"24",33
"25",34
"26",35
"27",37
"28",38
"29",39
"30",40
"31",41
"32",42
"33",44
"34",46
"35",47
"36",48
"37",49
"38",50
"39",51
"40",52
"41",53
"42",54
"43",55
"44",56
"45",57
"46",58
"47",59
"48",60
"49",61
"50",63
"51",64
"52",65
"53",66
"54",67
"55",68
"56",69
"57",71
"58",72
"59",73
"60",74
"61",75
"62",76
"63",77
"64",78
"65",79
"66",80
"67",82
"68",83
"69",84
"70",85
"71",86
"72",87
"73",88
"74",89
"75",91
"76",92
"77",93
"78",94
"79",95
"80",97
"81",98
"82",99
"83",101
"84",102
"85",104
"86",106
"87",108
"88",109
"89",110
"90",111
"91",113
"92",114
"93",115
"94",116
"95",117
