"","Resample1"
"1",1
"2",3
"3",4
"4",5
"5",6
"6",7
"7",9
"8",10
"9",11
"10",12
"11",13
"12",14
"13",15
"14",16
"15",17
"16",19
"17",20
"18",21
"19",22
"20",23
"21",26
"22",27
"23",29
"24",30
"25",32
"26",33
"27",34
"28",35
"29",36
"30",37
"31",39
"32",40
"33",42
"34",43
"35",45
"36",46
"37",47
"38",48
"39",50
"40",51
"41",52
"42",53
"43",54
"44",55
"45",56
"46",57
"47",58
"48",60
"49",61
"50",62
"51",63
"52",64
"53",65
"54",66
"55",67
"56",68
"57",69
"58",70
"59",71
"60",73
"61",74
"62",75
"63",76
"64",77
"65",78
"66",79
"67",80
"68",82
"69",83
"70",85
"71",86
"72",87
"73",88
"74",91
"75",93
"76",94
"77",95
"78",96
"79",97
"80",98
"81",99
"82",100
"83",102
"84",103
"85",105
"86",106
"87",107
"88",109
"89",110
"90",111
"91",112
"92",114
"93",115
"94",116
"95",117
