"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",6
"6",7
"7",8
"8",10
"9",11
"10",12
"11",13
"12",14
"13",16
"14",17
"15",18
"16",19
"17",20
"18",21
"19",22
"20",23
"21",24
"22",25
"23",26
"24",27
"25",28
"26",29
"27",30
"28",31
"29",32
"30",33
"31",35
"32",36
"33",39
"34",40
"35",43
"36",44
"37",47
"38",48
"39",49
"40",50
"41",52
"42",53
"43",54
"44",55
"45",56
"46",57
"47",58
"48",59
"49",60
"50",61
"51",62
"52",63
"53",65
"54",66
"55",67
"56",68
"57",69
"58",71
"59",73
"60",74
"61",76
"62",77
"63",78
"64",80
"65",81
"66",82
"67",83
"68",84
"69",85
"70",87
"71",88
"72",89
"73",90
"74",91
"75",92
"76",93
"77",95
"78",96
"79",97
"80",98
"81",100
"82",101
"83",102
"84",103
"85",104
"86",105
"87",106
"88",108
"89",110
"90",111
"91",112
"92",113
"93",114
"94",115
"95",117
