"","Resample1"
"1",1
"2",3
"3",4
"4",5
"5",6
"6",7
"7",8
"8",9
"9",11
"10",12
"11",13
"12",14
"13",15
"14",16
"15",18
"16",19
"17",21
"18",22
"19",23
"20",24
"21",25
"22",26
"23",28
"24",29
"25",31
"26",32
"27",33
"28",35
"29",37
"30",38
"31",40
"32",42
"33",43
"34",45
"35",46
"36",47
"37",48
"38",49
"39",50
"40",51
"41",52
"42",53
"43",54
"44",55
"45",56
"46",57
"47",58
"48",59
"49",60
"50",61
"51",62
"52",64
"53",65
"54",66
"55",67
"56",69
"57",70
"58",71
"59",72
"60",73
"61",75
"62",76
"63",78
"64",79
"65",80
"66",81
"67",82
"68",83
"69",84
"70",85
"71",87
"72",88
"73",91
"74",93
"75",94
"76",95
"77",96
"78",98
"79",99
"80",100
"81",101
"82",102
"83",103
"84",104
"85",105
"86",106
"87",107
"88",109
"89",110
"90",111
"91",113
"92",114
"93",115
"94",116
"95",117
