"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",7
"6",8
"7",9
"8",10
"9",11
"10",13
"11",14
"12",16
"13",17
"14",18
"15",19
"16",20
"17",21
"18",23
"19",25
"20",26
"21",27
"22",28
"23",30
"24",32
"25",33
"26",34
"27",35
"28",36
"29",38
"30",39
"31",40
"32",41
"33",42
"34",43
"35",44
"36",45
"37",46
"38",47
"39",48
"40",49
"41",50
"42",51
"43",54
"44",55
"45",56
"46",57
"47",58
"48",59
"49",60
"50",61
"51",62
"52",63
"53",64
"54",67
"55",68
"56",69
"57",70
"58",72
"59",73
"60",74
"61",75
"62",77
"63",78
"64",79
"65",80
"66",81
"67",82
"68",83
"69",84
"70",85
"71",87
"72",89
"73",90
"74",91
"75",92
"76",93
"77",94
"78",95
"79",96
"80",97
"81",98
"82",99
"83",101
"84",104
"85",108
"86",109
"87",110
"88",112
"89",113
"90",115
"91",117
"92",118
"93",119
"94",120
"95",121
"96",123
"97",124
"98",125
"99",126
"100",127
"101",128
"102",129
"103",131
"104",132
"105",133
"106",134
"107",135
"108",136
"109",138
"110",139
"111",140
"112",141
"113",142
"114",143
"115",145
"116",146
"117",147
"118",148
"119",150
"120",151
"121",152
"122",153
"123",154
"124",155
"125",156
"126",157
"127",158
"128",160
"129",161
"130",162
"131",163
"132",164
"133",165
"134",166
"135",167
"136",169
"137",171
"138",172
"139",173
"140",174
"141",175
"142",176
"143",177
"144",178
"145",179
"146",182
"147",183
"148",185
"149",186
"150",188
"151",190
"152",191
"153",192
"154",193
"155",194
"156",195
"157",196
"158",197
"159",199
"160",200
"161",201
"162",202
"163",203
"164",204
"165",205
"166",206
"167",207
"168",208
"169",210
"170",211
"171",212
"172",213
"173",215
"174",217
"175",218
"176",219
"177",220
"178",221
"179",222
"180",223
"181",224
"182",225
