"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",8
"8",10
"9",11
"10",13
"11",14
"12",15
"13",16
"14",17
"15",18
"16",19
"17",20
"18",22
"19",23
"20",25
"21",26
"22",27
"23",28
"24",29
"25",30
"26",31
"27",32
"28",33
"29",35
"30",36
"31",37
"32",38
"33",39
"34",40
"35",41
"36",42
"37",43
"38",44
"39",45
"40",49
"41",50
"42",51
"43",53
"44",55
"45",56
"46",57
"47",58
"48",59
"49",60
"50",61
"51",62
"52",63
"53",64
"54",65
"55",66
"56",68
"57",69
"58",70
"59",71
"60",72
"61",73
"62",74
"63",75
"64",77
"65",78
"66",79
"67",80
"68",81
"69",82
"70",83
"71",84
"72",85
"73",86
"74",88
"75",90
"76",92
"77",93
"78",94
"79",95
"80",96
"81",97
"82",98
"83",99
"84",101
"85",102
"86",103
"87",104
"88",105
"89",106
"90",107
"91",108
"92",109
"93",112
"94",113
"95",114
"96",115
"97",116
"98",117
"99",119
"100",120
"101",121
"102",122
"103",123
"104",125
"105",126
"106",127
"107",129
"108",130
"109",132
"110",133
"111",134
"112",135
"113",136
"114",137
"115",138
"116",139
"117",140
"118",141
"119",142
"120",144
"121",145
"122",146
"123",148
"124",149
"125",150
"126",152
"127",153
"128",154
"129",155
"130",159
"131",160
"132",161
"133",164
"134",165
"135",166
"136",167
"137",169
"138",170
"139",171
"140",172
"141",173
"142",174
"143",175
"144",176
"145",177
"146",178
"147",179
"148",181
"149",183
"150",184
"151",185
"152",186
"153",187
"154",189
"155",190
"156",191
"157",192
"158",193
"159",194
"160",195
"161",196
"162",197
"163",199
"164",200
"165",202
"166",203
"167",204
"168",206
"169",207
"170",209
"171",210
"172",211
"173",212
"174",213
"175",214
"176",215
"177",217
"178",218
"179",219
"180",220
"181",223
"182",226
