"","Resample1"
"1",1
"2",2
"3",4
"4",5
"5",6
"6",7
"7",8
"8",10
"9",11
"10",12
"11",13
"12",14
"13",15
"14",16
"15",17
"16",18
"17",19
"18",20
"19",22
"20",23
"21",24
"22",25
"23",26
"24",28
"25",29
"26",30
"27",31
"28",32
"29",33
"30",34
"31",35
"32",36
"33",39
"34",42
"35",43
"36",44
"37",46
"38",47
"39",48
"40",49
"41",50
"42",52
"43",54
"44",55
"45",56
"46",57
"47",60
"48",61
"49",62
"50",64
"51",65
"52",67
"53",68
"54",69
"55",70
"56",71
"57",73
"58",74
"59",75
"60",76
"61",77
"62",78
"63",79
"64",80
"65",81
"66",82
"67",84
"68",85
"69",86
"70",87
"71",89
"72",90
"73",91
"74",92
"75",93
"76",94
"77",95
"78",97
"79",98
"80",99
"81",100
"82",101
"83",102
"84",103
"85",104
"86",106
"87",107
"88",108
"89",110
"90",113
"91",114
"92",115
"93",116
"94",118
"95",119
"96",120
"97",121
"98",122
"99",123
"100",124
"101",125
"102",126
"103",128
"104",129
"105",130
"106",131
"107",132
"108",133
"109",134
"110",135
"111",137
"112",138
"113",140
"114",142
"115",143
"116",148
"117",149
"118",151
"119",152
"120",153
"121",154
"122",155
"123",156
"124",157
"125",158
"126",159
"127",160
"128",161
"129",162
"130",163
"131",164
"132",165
"133",166
"134",167
"135",168
"136",169
"137",170
"138",171
"139",172
"140",173
"141",176
"142",177
"143",178
"144",180
"145",182
"146",183
"147",184
"148",185
"149",186
"150",188
"151",189
"152",190
"153",191
"154",192
"155",193
"156",194
"157",195
"158",196
"159",197
"160",199
"161",200
"162",202
"163",203
"164",204
"165",205
"166",206
"167",207
"168",208
"169",209
"170",210
"171",211
"172",213
"173",214
"174",216
"175",217
"176",218
"177",219
"178",220
"179",223
"180",224
"181",225
"182",226
