"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",10
"10",12
"11",13
"12",14
"13",15
"14",17
"15",18
"16",19
"17",20
"18",21
"19",22
"20",23
"21",24
"22",26
"23",27
"24",29
"25",30
"26",31
"27",32
"28",33
"29",34
"30",36
"31",38
"32",39
"33",40
"34",41
"35",43
"36",44
"37",45
"38",46
"39",47
"40",48
"41",51
"42",52
"43",53
"44",55
"45",56
"46",57
"47",58
"48",59
"49",60
"50",62
"51",63
"52",65
"53",66
"54",67
"55",68
"56",69
"57",70
"58",73
"59",74
"60",75
"61",76
"62",77
"63",78
"64",79
"65",81
"66",82
"67",83
"68",84
"69",85
"70",86
"71",87
"72",89
"73",90
"74",92
"75",93
"76",95
"77",96
"78",97
"79",98
"80",99
"81",100
"82",105
"83",106
"84",107
"85",108
"86",109
"87",111
"88",113
"89",114
"90",115
"91",116
"92",117
"93",118
"94",119
"95",120
"96",121
"97",122
"98",123
"99",125
"100",126
"101",127
"102",128
"103",129
"104",134
"105",135
"106",136
"107",137
"108",138
"109",139
"110",140
"111",141
"112",142
"113",143
"114",145
"115",146
"116",147
"117",148
"118",149
"119",150
"120",151
"121",153
"122",154
"123",155
"124",156
"125",157
"126",158
"127",160
"128",161
"129",162
"130",163
"131",164
"132",166
"133",167
"134",168
"135",169
"136",170
"137",171
"138",172
"139",173
"140",174
"141",176
"142",177
"143",178
"144",179
"145",180
"146",181
"147",183
"148",184
"149",185
"150",186
"151",187
"152",190
"153",191
"154",192
"155",193
"156",195
"157",196
"158",197
"159",198
"160",199
"161",200
"162",201
"163",202
"164",203
"165",204
"166",205
"167",206
"168",207
"169",208
"170",209
"171",210
"172",212
"173",213
"174",215
"175",216
"176",218
"177",219
"178",220
"179",222
"180",223
"181",224
"182",226
