"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",8
"8",9
"9",10
"10",11
"11",12
"12",13
"13",14
"14",16
"15",18
"16",20
"17",21
"18",22
"19",23
"20",24
"21",25
"22",26
"23",27
"24",29
"25",30
"26",32
"27",33
"28",34
"29",35
"30",36
"31",37
"32",38
"33",39
"34",40
"35",42
"36",43
"37",44
"38",45
"39",46
"40",47
"41",48
"42",50
"43",51
"44",54
"45",55
"46",56
"47",58
"48",59
"49",60
"50",61
"51",62
"52",64
"53",65
"54",66
"55",67
"56",68
"57",69
"58",70
"59",71
"60",72
"61",73
"62",74
"63",75
"64",76
"65",77
"66",78
"67",79
"68",81
"69",82
"70",83
"71",84
"72",85
"73",86
"74",87
"75",89
"76",92
"77",93
"78",94
"79",96
"80",97
"81",98
"82",101
"83",103
"84",104
"85",106
"86",107
"87",108
"88",109
"89",110
"90",112
"91",113
"92",114
"93",115
"94",116
"95",117
"96",118
"97",119
"98",120
"99",123
"100",124
"101",125
"102",127
"103",128
"104",130
"105",131
"106",132
"107",133
"108",134
"109",135
"110",137
"111",138
"112",139
"113",140
"114",141
"115",143
"116",144
"117",145
"118",146
"119",147
"120",148
"121",150
"122",151
"123",154
"124",155
"125",156
"126",157
"127",158
"128",159
"129",161
"130",162
"131",163
"132",164
"133",166
"134",167
"135",168
"136",169
"137",170
"138",172
"139",173
"140",174
"141",175
"142",176
"143",177
"144",178
"145",179
"146",181
"147",182
"148",183
"149",185
"150",186
"151",187
"152",188
"153",190
"154",191
"155",192
"156",194
"157",195
"158",196
"159",197
"160",198
"161",199
"162",200
"163",201
"164",203
"165",204
"166",205
"167",206
"168",207
"169",208
"170",209
"171",210
"172",211
"173",212
"174",214
"175",215
"176",216
"177",217
"178",219
"179",221
"180",222
"181",223
"182",226
