"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",8
"6",9
"7",10
"8",11
"9",12
"10",14
"11",15
"12",17
"13",18
"14",19
"15",20
"16",21
"17",22
"18",23
"19",24
"20",25
"21",26
"22",27
"23",29
"24",30
"25",32
"26",33
"27",34
"28",35
"29",36
"30",38
"31",39
"32",40
"33",42
"34",43
"35",44
"36",45
"37",46
"38",48
"39",49
"40",50
"41",51
"42",52
"43",53
"44",54
"45",55
"46",58
"47",60
"48",61
"49",62
"50",63
"51",65
"52",66
"53",68
"54",69
"55",70
"56",71
"57",72
"58",74
"59",75
"60",76
"61",77
"62",78
"63",79
"64",80
"65",81
"66",82
"67",83
"68",84
"69",85
"70",86
"71",87
"72",88
"73",89
"74",90
"75",91
"76",92
"77",93
"78",94
"79",95
"80",96
"81",98
"82",99
"83",100
"84",101
"85",102
"86",103
"87",104
"88",105
"89",106
"90",107
"91",109
"92",110
"93",111
"94",112
"95",113
"96",114
"97",115
"98",116
"99",117
"100",118
"101",119
"102",120
"103",122
"104",123
"105",126
"106",127
"107",128
"108",129
"109",130
"110",133
"111",134
"112",138
"113",142
"114",143
"115",144
"116",145
"117",146
"118",147
"119",149
"120",150
"121",151
"122",152
"123",154
"124",155
"125",156
"126",157
"127",158
"128",159
"129",160
"130",162
"131",163
"132",164
"133",165
"134",166
"135",168
"136",169
"137",170
"138",173
"139",174
"140",175
"141",176
"142",177
"143",178
"144",179
"145",181
"146",182
"147",183
"148",184
"149",185
"150",187
"151",188
"152",189
"153",190
"154",191
"155",193
"156",194
"157",195
"158",196
"159",197
"160",199
"161",200
"162",202
"163",203
"164",204
"165",205
"166",207
"167",208
"168",211
"169",212
"170",213
"171",214
"172",215
"173",216
"174",218
"175",221
"176",222
"177",223
"178",224
"179",225
"180",226
"181",227
"182",228
"183",230
"184",231
"185",233
"186",234
"187",235
"188",237
"189",239
"190",243
"191",244
"192",245
"193",246
"194",247
"195",248
"196",249
"197",251
"198",252
"199",253
"200",254
"201",255
"202",256
"203",257
"204",258
"205",260
"206",261
"207",262
"208",263
"209",264
"210",265
"211",266
"212",267
"213",268
"214",269
"215",270
"216",271
"217",272
"218",273
"219",274
"220",275
"221",276
"222",277
"223",278
"224",279
"225",280
