"","Resample1"
"1",1
"2",2
"3",4
"4",5
"5",6
"6",7
"7",8
"8",10
"9",11
"10",13
"11",14
"12",15
"13",16
"14",18
"15",19
"16",20
"17",22
"18",23
"19",24
"20",25
"21",26
"22",27
"23",28
"24",29
"25",31
"26",32
"27",34
"28",36
"29",37
"30",38
"31",39
"32",40
"33",42
"34",43
"35",44
"36",45
"37",46
"38",47
"39",48
"40",49
"41",50
"42",52
"43",53
"44",54
"45",56
"46",58
"47",59
"48",60
"49",61
"50",62
"51",63
"52",64
"53",65
"54",66
"55",67
"56",68
"57",70
"58",71
"59",72
"60",73
"61",74
"62",75
"63",76
"64",77
"65",79
"66",80
"67",82
"68",83
"69",84
"70",87
"71",88
"72",89
"73",90
"74",91
"75",93
"76",94
"77",95
"78",96
"79",99
"80",101
"81",102
"82",104
"83",106
"84",107
"85",108
"86",109
"87",110
"88",111
"89",113
"90",114
"91",115
"92",116
"93",118
"94",119
"95",120
"96",123
"97",124
"98",125
"99",126
"100",127
"101",128
"102",130
"103",131
"104",132
"105",133
"106",134
"107",135
"108",136
"109",140
"110",141
"111",142
"112",144
"113",145
"114",146
"115",147
"116",148
"117",149
"118",150
"119",152
"120",153
"121",154
"122",155
"123",156
"124",157
"125",158
"126",159
"127",160
"128",161
"129",162
"130",164
"131",165
"132",166
"133",167
"134",168
"135",169
"136",170
"137",171
"138",172
"139",173
"140",174
"141",176
"142",177
"143",179
"144",180
"145",181
"146",182
"147",183
"148",185
"149",186
"150",188
"151",189
"152",190
"153",191
"154",193
"155",194
"156",195
"157",196
"158",197
"159",198
"160",199
"161",200
"162",201
"163",202
"164",203
"165",204
"166",206
"167",207
"168",208
"169",209
"170",210
"171",211
"172",212
"173",213
"174",214
"175",215
"176",216
"177",220
"178",221
"179",223
"180",224
"181",225
"182",226
"183",227
"184",228
"185",230
"186",231
"187",232
"188",235
"189",236
"190",237
"191",238
"192",239
"193",240
"194",241
"195",242
"196",243
"197",245
"198",246
"199",248
"200",249
"201",250
"202",252
"203",253
"204",254
"205",255
"206",257
"207",258
"208",259
"209",260
"210",261
"211",262
"212",263
"213",264
"214",265
"215",266
"216",269
"217",270
"218",272
"219",273
"220",274
"221",275
"222",276
"223",277
"224",278
"225",279
