"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",9
"10",10
"11",11
"12",13
"13",14
"14",15
"15",16
"16",17
"17",18
"18",19
"19",20
"20",21
"21",22
"22",25
"23",26
"24",27
"25",28
"26",29
"27",30
"28",32
"29",34
"30",35
"31",36
"32",37
"33",38
"34",40
"35",43
"36",44
"37",45
"38",46
"39",48
"40",49
"41",50
"42",51
"43",52
"44",54
"45",55
"46",56
"47",57
"48",58
"49",59
"50",60
"51",61
"52",62
"53",63
"54",64
"55",66
"56",67
"57",68
"58",70
"59",71
"60",72
"61",74
"62",75
"63",76
"64",77
"65",78
"66",80
"67",81
"68",82
"69",83
"70",86
"71",87
"72",88
"73",89
"74",90
"75",91
"76",92
"77",94
"78",95
"79",96
"80",97
"81",98
"82",99
"83",100
"84",101
"85",102
"86",103
"87",104
"88",106
"89",107
"90",108
"91",109
"92",110
"93",111
"94",112
"95",113
"96",115
"97",116
"98",117
"99",118
"100",119
"101",120
"102",121
"103",122
"104",125
"105",126
"106",127
"107",132
"108",133
"109",134
"110",135
"111",136
"112",137
"113",138
"114",139
"115",140
"116",142
"117",143
"118",145
"119",146
"120",148
"121",149
"122",150
"123",151
"124",153
"125",155
"126",156
"127",159
"128",160
"129",161
"130",162
"131",163
"132",165
"133",166
"134",167
"135",169
"136",170
"137",171
"138",172
"139",174
"140",176
"141",177
"142",179
"143",180
"144",181
"145",182
"146",184
"147",185
"148",186
"149",187
"150",188
"151",190
"152",191
"153",192
"154",193
"155",195
"156",196
"157",197
"158",198
"159",200
"160",201
"161",202
"162",203
"163",204
"164",206
"165",207
"166",208
"167",209
"168",210
"169",211
"170",214
"171",216
"172",217
"173",218
"174",219
"175",220
"176",222
"177",224
"178",225
"179",226
"180",227
"181",228
"182",229
"183",230
"184",231
"185",232
"186",233
"187",234
"188",235
"189",236
"190",237
"191",238
"192",239
"193",242
"194",243
"195",244
"196",245
"197",247
"198",249
"199",250
"200",251
"201",252
"202",253
"203",254
"204",256
"205",257
"206",258
"207",260
"208",261
"209",262
"210",263
"211",264
"212",265
"213",266
"214",267
"215",268
"216",269
"217",270
"218",271
"219",272
"220",273
"221",274
"222",275
"223",276
"224",277
"225",278
