"","x"
"1","totalIgG_Hspx"
"2","IgG1_Hspx"
"3","IgG1_CFP10"
"4","IgG1_LAM"
"5","IgG2_PPD"
"6","IgG2_ESAT6"
"7","IgG2_CFP10"
"8","IgG2_LAM"
"9","IgG3_CFP10"
"10","IgG3_LAM"
"11","IgG4_ESAT6"
"12","IgG4_Ag85"
"13","IgA1_PPD"
"14","IgA1_LAM"
"15","IgA2_PPD"
"16","IgM_PPD"
"17","IgM_ESAT6"
"18","IgM_LAM"
"19","FcgR2A_LAM"
"20","FcgR2A_Hspx"
"21","FcgR2A_Ag85.AB"
"22","FcgR2B_Hspx"
"23","FcgR3A_LAM"
"24","FcgR3A_ESAT6.CFP10"
"25","FcgR3B_PPD"
"26","FcgR3B_Ag85.AB"
"27","SNA_ESAT6.CFP10"
"28","RCA_PPD"
"29","RCA_LAM"
