"","x"
"1","totalIgG_Hspx"
"2","IgG1_ESAT6"
"3","IgG1_Hspx"
"4","IgG1_Ag85"
"5","IgG1_LAM"
"6","IgG2_PPD"
"7","IgG2_ESAT6"
"8","IgG2_CFP10"
"9","IgG2_LAM"
"10","IgG3_CFP10"
"11","IgG3_LAM"
"12","IgG4_ESAT6"
"13","IgG4_Ag85"
"14","IgA1_PPD"
"15","IgA1_CFP10"
"16","IgA2_PPD"
"17","IgA2_Tbad"
"18","IgM_PPD"
"19","IgM_ESAT6"
"20","IgM_Hspx"
"21","IgM_CFP10"
"22","IgM_LAM"
"23","FcgR2A_LAM"
"24","FcgR2A_PPD"
"25","FcgR2B_Hspx"
"26","FcgR3A_LAM"
"27","FcgR3A_ESAT6.CFP10"
"28","FcgR3B_PPD"
"29","FcgR3B_Ag85.AB"
"30","SNA_LAM"
