"","x"
"1","totalIgG_LAM"
"2","IgG1_ESAT6"
"3","IgG1_Hspx"
"4","IgG1_Ag85"
"5","IgG1_LAM"
"6","IgG2_PPD"
"7","IgG2_ESAT6"
"8","IgG2_Hspx"
"9","IgG2_CFP10"
"10","IgG2_Ag85"
"11","IgG2_LAM"
"12","IgG3_CFP10"
"13","IgG3_Tbad"
"14","IgG3_LAM"
"15","IgG4_PPD"
"16","IgG4_ESAT6"
"17","IgG4_Hspx"
"18","IgG4_Ag85"
"19","IgA1_PPD"
"20","IgA1_Hspx"
"21","IgA1_CFP10"
"22","IgA1_LAM"
"23","IgA2_PPD"
"24","IgA2_ESAT6"
"25","IgA2_Tbad"
"26","IgA2_LAM"
"27","IgM_PPD"
"28","IgM_ESAT6"
"29","IgM_LAM"
"30","FcgR2A_PPD"
"31","FcgR2B_TbAd"
"32","FcgR2B_Hspx"
"33","FcgR3B_PPD"
"34","FcgR3B_Ag85.AB"
"35","SNA_Tbad"
"36","SNA_LAM"
"37","RCA_PPD"
"38","RCA_LAM"
