"","Resample1"
"1",1
"2",3
"3",4
"4",5
"5",6
"6",7
"7",8
"8",10
"9",11
"10",12
"11",14
"12",15
"13",16
"14",17
"15",18
"16",19
"17",21
"18",22
"19",24
"20",25
"21",26
"22",27
"23",28
"24",29
"25",31
"26",32
"27",33
"28",34
"29",35
"30",36
"31",38
"32",39
"33",40
"34",41
"35",43
"36",45
"37",46
"38",47
"39",48
"40",49
"41",50
"42",51
"43",53
"44",54
"45",55
"46",56
"47",57
"48",58
"49",59
"50",60
"51",61
"52",62
"53",63
"54",64
"55",65
"56",66
"57",67
"58",68
"59",69
"60",70
"61",71
"62",73
"63",75
"64",76
"65",77
"66",78
"67",79
"68",80
"69",81
"70",82
"71",84
"72",85
"73",86
"74",87
"75",89
"76",90
"77",91
"78",92
"79",93
"80",94
"81",95
"82",96
"83",98
"84",100
"85",101
"86",103
"87",104
"88",105
"89",108
"90",109
"91",111
"92",112
"93",115
"94",116
"95",118
"96",120
"97",122
"98",123
"99",125
"100",126
"101",127
"102",128
"103",129
"104",130
"105",131
"106",132
"107",133
"108",134
"109",135
"110",136
"111",137
"112",138
"113",139
"114",140
"115",142
"116",143
"117",144
"118",145
"119",147
"120",149
"121",150
"122",151
"123",153
"124",155
"125",156
"126",157
"127",158
"128",159
"129",160
"130",161
"131",162
"132",163
"133",165
"134",166
"135",167
"136",168
"137",169
"138",170
"139",171
"140",172
"141",174
"142",175
"143",176
"144",177
"145",178
"146",179
"147",181
"148",182
"149",183
"150",184
"151",187
"152",188
"153",189
"154",190
"155",191
"156",192
"157",193
"158",194
"159",195
"160",198
"161",200
"162",201
"163",202
"164",203
"165",205
"166",209
"167",210
"168",211
"169",212
"170",213
"171",215
"172",216
"173",217
"174",218
"175",219
"176",220
"177",221
"178",223
"179",224
"180",225
"181",226
"182",227
"183",228
"184",229
"185",230
"186",233
"187",234
"188",235
"189",236
"190",237
"191",238
"192",239
"193",240
"194",243
"195",244
"196",246
"197",247
"198",248
"199",249
"200",250
"201",252
"202",253
"203",254
"204",255
"205",256
"206",257
"207",258
"208",259
"209",260
"210",261
"211",262
"212",263
"213",265
"214",267
"215",268
"216",269
"217",270
"218",272
"219",273
"220",274
"221",275
"222",276
"223",278
"224",279
"225",280
