"","Resample1"
"1",1
"2",2
"3",3
"4",5
"5",6
"6",7
"7",8
"8",10
"9",11
"10",14
"11",16
"12",17
"13",18
"14",19
"15",20
"16",21
"17",22
"18",23
"19",24
"20",25
"21",26
"22",27
"23",28
"24",29
"25",30
"26",31
"27",32
"28",33
"29",34
"30",36
"31",37
"32",38
"33",40
"34",41
"35",42
"36",43
"37",44
"38",45
"39",47
"40",49
"41",51
"42",52
"43",53
"44",54
"45",55
"46",56
"47",57
"48",58
"49",59
"50",60
"51",62
"52",64
"53",65
"54",66
"55",68
"56",70
"57",71
"58",72
"59",73
"60",76
"61",78
"62",79
"63",80
"64",81
"65",82
"66",83
"67",84
"68",85
"69",86
"70",87
"71",88
"72",89
"73",90
"74",91
"75",92
"76",93
"77",94
"78",95
"79",96
"80",99
"81",100
"82",101
"83",102
"84",103
"85",104
"86",106
"87",107
"88",108
"89",109
"90",111
"91",112
"92",113
"93",114
"94",115
"95",116
"96",118
"97",119
"98",120
"99",121
"100",122
"101",123
"102",124
"103",125
"104",126
"105",128
"106",130
"107",131
"108",133
"109",134
"110",135
"111",136
"112",137
"113",138
"114",140
"115",142
"116",144
"117",145
"118",146
"119",147
"120",148
"121",149
"122",150
"123",151
"124",152
"125",154
"126",155
"127",156
"128",158
"129",159
"130",160
"131",161
"132",162
"133",163
"134",164
"135",165
"136",166
"137",167
"138",168
"139",169
"140",170
"141",171
"142",172
"143",173
"144",175
"145",176
"146",177
"147",178
"148",180
"149",182
"150",183
"151",184
"152",185
"153",186
"154",187
"155",188
"156",190
"157",192
"158",193
"159",194
"160",195
"161",197
"162",198
"163",199
"164",200
"165",203
"166",204
"167",206
"168",207
"169",208
"170",209
"171",210
"172",211
"173",213
"174",214
"175",215
"176",216
"177",217
"178",218
"179",219
"180",220
"181",221
"182",222
"183",224
"184",226
"185",227
"186",228
"187",230
"188",231
"189",233
"190",236
"191",237
"192",238
"193",239
"194",241
"195",242
"196",243
"197",244
"198",245
"199",246
"200",247
"201",248
"202",249
"203",250
"204",251
"205",252
"206",253
"207",254
"208",255
"209",257
"210",258
"211",259
"212",260
"213",261
"214",262
"215",263
"216",265
"217",266
"218",267
"219",269
"220",271
"221",272
"222",275
"223",277
"224",278
"225",279
