"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",7
"7",9
"8",10
"9",11
"10",13
"11",14
"12",15
"13",17
"14",18
"15",19
"16",20
"17",22
"18",23
"19",24
"20",25
"21",27
"22",28
"23",29
"24",31
"25",32
"26",34
"27",35
"28",36
"29",37
"30",39
"31",41
"32",42
"33",43
"34",44
"35",45
"36",46
"37",47
"38",48
"39",49
"40",50
"41",51
"42",52
"43",53
"44",54
"45",55
"46",56
"47",57
"48",58
"49",61
"50",62
"51",63
"52",64
"53",65
"54",66
"55",67
"56",69
"57",70
"58",71
"59",72
"60",73
"61",74
"62",75
"63",76
"64",80
"65",83
"66",84
"67",85
"68",86
"69",87
"70",88
"71",91
"72",92
"73",94
"74",96
"75",97
"76",98
"77",99
"78",100
"79",101
"80",103
"81",104
"82",105
"83",107
"84",108
"85",109
"86",110
"87",111
"88",114
"89",115
"90",116
"91",117
"92",119
"93",121
"94",122
"95",123
"96",124
"97",125
"98",126
"99",127
"100",128
"101",129
"102",130
"103",132
"104",133
"105",134
"106",135
"107",136
"108",137
"109",138
"110",140
"111",141
"112",142
"113",143
"114",144
"115",146
"116",147
"117",148
"118",149
"119",151
"120",152
"121",153
"122",154
"123",155
"124",156
"125",157
"126",158
"127",159
"128",160
"129",161
"130",162
"131",163
"132",164
"133",165
"134",168
"135",171
"136",172
"137",174
"138",175
"139",176
"140",177
"141",178
"142",179
"143",181
"144",183
"145",184
"146",185
"147",186
"148",189
"149",190
"150",191
"151",194
"152",195
"153",196
"154",197
"155",198
"156",199
"157",200
"158",201
"159",203
"160",204
"161",205
"162",206
"163",207
"164",208
"165",209
"166",210
"167",212
"168",213
"169",214
"170",215
"171",216
"172",217
"173",218
"174",219
"175",221
"176",222
"177",223
"178",224
"179",225
"180",226
"181",228
"182",229
"183",230
"184",231
"185",232
"186",233
"187",234
"188",235
"189",236
"190",237
"191",238
"192",239
"193",240
"194",241
"195",242
"196",243
"197",244
"198",245
"199",246
"200",247
"201",248
"202",249
"203",250
"204",252
"205",253
"206",254
"207",255
"208",256
"209",257
"210",258
"211",260
"212",262
"213",263
"214",264
"215",265
"216",267
"217",268
"218",269
"219",270
"220",273
"221",274
"222",275
"223",276
"224",277
"225",280
