"","x"
"1","totalIgG_Ag85"
"2","totalIgG_LAM"
"3","IgG1_ESAT6"
"4","IgG1_Hspx"
"5","IgG1_Ag85"
"6","IgG1_LAM"
"7","IgG2_PPD"
"8","IgG2_ESAT6"
"9","IgG2_Hspx"
"10","IgG2_CFP10"
"11","IgG2_LAM"
"12","IgG3_CFP10"
"13","IgG3_LAM"
"14","IgG4_ESAT6"
"15","IgG4_Ag85"
"16","IgA1_PPD"
"17","IgA1_LAM"
"18","IgA2_PPD"
"19","IgA2_ESAT6"
"20","IgM_PPD"
"21","IgM_ESAT6"
"22","IgM_LAM"
"23","FcgR2A_Hspx"
"24","FcgR3A_LAM"
"25","FcgR3B_PPD"
"26","FcgR3B_Ag85.AB"
"27","SNA_ESAT6.CFP10"
"28","SNA_LAM"
"29","Risk6"
