"","x"
"1","totalIgG_Hspx"
"2","totalIgG_Ag85"
"3","totalIgG_LAM"
"4","IgG1_ESAT6"
"5","IgG1_Hspx"
"6","IgG1_LAM"
"7","IgG2_PPD"
"8","IgG2_ESAT6"
"9","IgG2_CFP10"
"10","IgG2_Ag85"
"11","IgG2_LAM"
"12","IgG3_CFP10"
"13","IgG3_LAM"
"14","IgG4_ESAT6"
"15","IgG4_Hspx"
"16","IgG4_Ag85"
"17","IgA1_PPD"
"18","IgA2_PPD"
"19","IgA2_ESAT6"
"20","IgA2_Ag85"
"21","IgM_PPD"
"22","IgM_ESAT6"
"23","IgM_LAM"
"24","FcgR2B_PPD"
"25","FcgR2B_TbAd"
"26","FcgR3A_PPD"
"27","FcgR3B_LAM"
"28","FcgR3B_PPD"
"29","SNA_LAM"
"30","Risk6"
