"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",10
"10",11
"11",12
"12",15
"13",16
"14",17
"15",18
"16",19
"17",21
"18",22
"19",23
"20",24
"21",25
"22",26
"23",27
"24",28
"25",29
"26",30
"27",32
"28",33
"29",34
"30",35
"31",36
"32",37
"33",38
"34",39
"35",41
"36",45
"37",46
"38",47
"39",48
"40",49
"41",50
"42",52
"43",53
"44",54
"45",55
"46",57
"47",58
"48",59
"49",60
"50",62
"51",63
"52",64
"53",65
"54",69
"55",70
"56",71
"57",72
"58",73
"59",74
"60",75
"61",76
"62",78
"63",79
"64",80
"65",81
"66",83
"67",84
"68",86
"69",88
"70",89
"71",90
"72",91
"73",92
"74",93
"75",94
"76",96
"77",97
"78",98
"79",100
"80",101
"81",102
"82",103
"83",104
"84",105
"85",107
"86",108
"87",109
"88",110
"89",112
"90",113
"91",114
"92",115
"93",118
"94",119
"95",121
"96",122
"97",123
"98",124
"99",126
"100",127
"101",130
"102",131
"103",132
"104",133
"105",134
"106",135
"107",136
"108",138
"109",139
"110",140
"111",141
"112",143
"113",144
"114",145
"115",146
"116",147
"117",148
"118",149
"119",152
"120",153
"121",154
"122",155
"123",156
"124",160
"125",161
"126",162
"127",163
"128",164
"129",165
"130",166
"131",167
"132",168
"133",169
"134",171
"135",172
"136",173
"137",174
"138",175
"139",176
"140",177
"141",178
"142",179
"143",180
"144",181
"145",182
"146",184
"147",185
"148",186
"149",188
"150",189
"151",190
"152",191
"153",192
"154",193
"155",194
"156",195
"157",196
"158",197
"159",198
"160",199
"161",200
"162",201
"163",202
"164",204
"165",205
"166",206
"167",208
"168",209
"169",210
"170",211
"171",212
"172",213
"173",214
"174",216
"175",218
"176",220
"177",221
"178",222
"179",223
"180",224
"181",225
"182",226
"183",228
"184",229
"185",231
"186",233
"187",234
"188",235
"189",236
"190",237
"191",238
"192",239
"193",240
"194",241
"195",242
"196",243
"197",244
"198",245
"199",247
"200",248
"201",249
"202",250
"203",251
"204",252
"205",253
"206",254
"207",255
"208",256
"209",258
"210",259
"211",260
"212",261
"213",262
"214",263
"215",264
"216",265
"217",266
"218",268
"219",269
"220",271
"221",272
"222",273
"223",274
"224",275
"225",279
