"","Resample1"
"1",1
"2",2
"3",3
"4",6
"5",7
"6",8
"7",9
"8",10
"9",11
"10",12
"11",15
"12",16
"13",18
"14",19
"15",20
"16",21
"17",22
"18",23
"19",24
"20",25
"21",26
"22",29
"23",30
"24",31
"25",32
"26",34
"27",35
"28",36
"29",37
"30",38
"31",39
"32",40
"33",41
"34",43
"35",44
"36",45
"37",46
"38",47
"39",48
"40",49
"41",50
"42",51
"43",53
"44",54
"45",55
"46",56
"47",57
"48",58
"49",60
"50",61
"51",62
"52",65
"53",67
"54",68
"55",69
"56",70
"57",71
"58",72
"59",73
"60",74
"61",76
"62",77
"63",80
"64",81
"65",83
"66",84
"67",85
"68",87
"69",91
"70",92
"71",93
"72",97
"73",98
"74",99
"75",100
"76",102
"77",104
"78",105
"79",107
"80",108
"81",109
"82",110
"83",111
"84",112
"85",113
"86",115
"87",116
"88",118
"89",119
"90",120
"91",121
"92",122
"93",123
"94",124
"95",125
"96",126
"97",127
"98",128
"99",129
"100",130
"101",133
"102",134
"103",136
"104",137
"105",139
"106",140
"107",141
"108",142
"109",143
"110",144
"111",145
"112",146
"113",147
"114",148
"115",149
"116",150
"117",152
"118",153
"119",154
"120",155
"121",156
"122",157
"123",158
"124",159
"125",160
"126",163
"127",164
"128",166
"129",167
"130",168
"131",169
"132",171
"133",172
"134",173
"135",174
"136",175
"137",176
"138",177
"139",178
"140",179
"141",180
"142",181
"143",182
"144",183
"145",184
"146",185
"147",187
"148",188
"149",189
"150",190
"151",191
"152",192
"153",193
"154",194
"155",195
"156",196
"157",197
"158",198
"159",200
"160",201
"161",202
"162",203
"163",204
"164",205
"165",206
"166",207
"167",208
"168",209
"169",211
"170",213
"171",214
"172",215
"173",216
"174",217
"175",218
"176",219
"177",220
"178",221
"179",223
"180",225
"181",226
"182",227
"183",228
"184",229
"185",230
"186",232
"187",233
"188",235
"189",236
"190",237
"191",238
"192",239
"193",240
"194",241
"195",242
"196",244
"197",245
"198",246
"199",247
"200",248
"201",251
"202",252
"203",253
"204",254
"205",255
"206",256
"207",257
"208",258
"209",259
"210",260
"211",262
"212",263
"213",264
"214",265
"215",266
"216",267
"217",270
"218",271
"219",273
"220",274
"221",275
"222",276
"223",277
"224",278
"225",279
