"","Resample1"
"1",1
"2",2
"3",3
"4",5
"5",6
"6",8
"7",9
"8",10
"9",11
"10",12
"11",13
"12",14
"13",15
"14",17
"15",18
"16",19
"17",20
"18",22
"19",23
"20",24
"21",25
"22",26
"23",27
"24",28
"25",29
"26",30
"27",31
"28",32
"29",33
"30",34
"31",35
"32",36
"33",38
"34",39
"35",40
"36",41
"37",42
"38",44
"39",45
"40",46
"41",47
"42",48
"43",50
"44",51
"45",52
"46",54
"47",55
"48",56
"49",57
"50",58
"51",59
"52",60
"53",61
"54",64
"55",65
"56",66
"57",68
"58",69
"59",71
"60",72
"61",75
"62",76
"63",78
"64",79
"65",81
"66",82
"67",83
"68",84
"69",85
"70",86
"71",87
"72",88
"73",89
"74",90
"75",92
"76",93
"77",95
"78",96
"79",97
"80",98
"81",99
"82",100
"83",101
"84",103
"85",105
"86",106
"87",107
"88",108
