"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",7
"7",9
"8",10
"9",12
"10",13
"11",14
"12",15
"13",18
"14",19
"15",20
"16",21
"17",22
"18",23
"19",25
"20",26
"21",27
"22",28
"23",29
"24",30
"25",32
"26",35
"27",36
"28",37
"29",39
"30",41
"31",42
"32",43
"33",44
"34",45
"35",46
"36",47
"37",48
"38",49
"39",50
"40",52
"41",53
"42",54
"43",57
"44",59
"45",60
"46",61
"47",62
"48",63
"49",64
"50",65
"51",67
"52",68
"53",69
"54",70
"55",71
"56",72
"57",73
"58",74
"59",75
"60",76
"61",77
"62",78
"63",79
"64",80
"65",81
"66",82
"67",83
"68",84
"69",86
"70",87
"71",89
"72",90
"73",91
"74",92
"75",93
"76",94
"77",95
"78",96
"79",97
"80",98
"81",99
"82",100
"83",101
"84",103
"85",104
"86",105
"87",106
"88",107
