"","Resample1"
"1",1
"2",3
"3",4
"4",5
"5",6
"6",7
"7",8
"8",9
"9",11
"10",12
"11",13
"12",14
"13",15
"14",18
"15",19
"16",21
"17",22
"18",24
"19",25
"20",26
"21",27
"22",28
"23",29
"24",31
"25",32
"26",34
"27",35
"28",37
"29",38
"30",39
"31",40
"32",42
"33",43
"34",44
"35",45
"36",46
"37",47
"38",48
"39",49
"40",50
"41",52
"42",53
"43",54
"44",55
"45",56
"46",57
"47",58
"48",59
"49",60
"50",61
"51",62
"52",63
"53",65
"54",66
"55",67
"56",68
"57",69
"58",70
"59",71
"60",72
"61",74
"62",75
"63",77
"64",78
"65",79
"66",80
"67",83
"68",85
"69",86
"70",87
"71",88
"72",89
"73",90
"74",91
"75",92
"76",94
"77",95
"78",97
"79",98
"80",99
"81",101
"82",102
"83",103
"84",104
"85",106
"86",107
"87",108
"88",109
