"","Resample1"
"1",1
"2",2
"3",4
"4",6
"5",7
"6",8
"7",9
"8",10
"9",11
"10",12
"11",13
"12",14
"13",15
"14",17
"15",18
"16",19
"17",21
"18",23
"19",24
"20",25
"21",26
"22",27
"23",28
"24",29
"25",30
"26",31
"27",33
"28",34
"29",36
"30",37
"31",38
"32",39
"33",40
"34",41
"35",42
"36",43
"37",46
"38",47
"39",48
"40",49
"41",50
"42",51
"43",52
"44",54
"45",55
"46",56
"47",57
"48",58
"49",59
"50",61
"51",63
"52",64
"53",66
"54",67
"55",68
"56",69
"57",70
"58",71
"59",73
"60",77
"61",78
"62",79
"63",80
"64",82
"65",84
"66",85
"67",86
"68",87
"69",88
"70",89
"71",90
"72",91
"73",92
"74",93
"75",94
"76",95
"77",96
"78",97
"79",98
"80",99
"81",101
"82",102
"83",103
"84",104
"85",105
"86",106
"87",108
"88",109
