"","Resample1"
"1",1
"2",3
"3",4
"4",5
"5",6
"6",7
"7",8
"8",9
"9",11
"10",12
"11",14
"12",16
"13",17
"14",18
"15",19
"16",21
"17",22
"18",23
"19",24
"20",25
"21",26
"22",27
"23",28
"24",29
"25",30
"26",31
"27",32
"28",34
"29",36
"30",37
"31",38
"32",39
"33",40
"34",41
"35",43
"36",44
"37",45
"38",46
"39",47
"40",48
"41",50
"42",51
"43",52
"44",53
"45",54
"46",55
"47",56
"48",57
"49",58
"50",59
"51",60
"52",61
"53",62
"54",63
"55",64
"56",65
"57",67
"58",68
"59",69
"60",70
"61",75
"62",76
"63",78
"64",80
"65",82
"66",83
"67",84
"68",85
"69",86
"70",87
"71",89
"72",90
"73",91
"74",92
"75",93
"76",94
"77",95
"78",96
"79",98
"80",99
"81",100
"82",101
"83",103
"84",104
"85",105
"86",106
"87",107
"88",108
