"","Resample1"
"1",1
"2",2
"3",5
"4",6
"5",7
"6",8
"7",9
"8",10
"9",12
"10",13
"11",14
"12",15
"13",16
"14",17
"15",18
"16",20
"17",21
"18",22
"19",23
"20",25
"21",27
"22",28
"23",29
"24",30
"25",31
"26",32
"27",34
"28",36
"29",37
"30",38
"31",39
"32",40
"33",42
"34",43
"35",44
"36",45
"37",46
"38",48
"39",50
"40",51
"41",52
"42",53
"43",54
"44",55
"45",56
"46",57
"47",58
"48",59
"49",60
"50",61
"51",62
"52",63
"53",64
"54",65
"55",66
"56",67
"57",68
"58",69
"59",70
"60",71
"61",73
"62",74
"63",75
"64",77
"65",80
"66",81
"67",82
"68",84
"69",85
"70",87
"71",88
"72",89
"73",90
"74",91
"75",92
"76",93
"77",94
"78",95
"79",96
"80",97
"81",99
"82",100
"83",102
"84",103
"85",105
"86",106
"87",108
"88",109
