"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",7
"7",8
"8",9
"9",10
"10",11
"11",12
"12",14
"13",15
"14",16
"15",17
"16",18
"17",19
"18",20
"19",21
"20",22
"21",25
"22",27
"23",28
"24",30
"25",31
"26",32
"27",33
"28",34
"29",35
"30",36
"31",37
"32",38
"33",39
"34",40
"35",41
"36",43
"37",44
"38",45
"39",46
"40",48
"41",49
"42",50
"43",51
"44",52
"45",54
"46",56
"47",57
"48",58
"49",59
"50",62
"51",63
"52",64
"53",65
"54",66
"55",67
"56",68
"57",69
"58",71
"59",72
"60",73
"61",75
"62",76
"63",78
"64",79
"65",80
"66",82
"67",83
"68",84
"69",85
"70",86
"71",87
"72",88
"73",90
"74",91
"75",93
"76",94
"77",95
"78",96
"79",97
"80",98
"81",99
"82",101
"83",102
"84",104
"85",105
"86",106
"87",108
"88",109
"89",111
"90",112
"91",113
"92",114
"93",115
"94",116
"95",117
"96",118
"97",119
"98",120
"99",121
"100",124
"101",125
"102",126
"103",127
"104",128
"105",130
"106",131
"107",132
"108",134
"109",135
"110",137
"111",138
"112",139
"113",140
"114",141
"115",142
"116",143
"117",145
"118",148
"119",149
"120",150
"121",152
"122",153
"123",154
"124",155
"125",156
"126",158
"127",159
"128",160
"129",161
"130",162
"131",163
"132",164
"133",165
"134",166
"135",167
"136",168
"137",169
"138",170
"139",172
"140",173
"141",174
"142",175
"143",176
"144",177
"145",178
"146",179
"147",182
"148",183
"149",184
"150",187
"151",188
"152",189
"153",190
"154",191
"155",193
"156",194
"157",195
"158",196
"159",198
"160",199
