"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",11
"10",12
"11",13
"12",16
"13",17
"14",19
"15",20
"16",21
"17",22
"18",23
"19",24
"20",25
"21",26
"22",27
"23",29
"24",30
"25",31
"26",32
"27",33
"28",34
"29",35
"30",36
"31",38
"32",39
"33",40
"34",42
"35",43
"36",44
"37",45
"38",46
"39",47
"40",48
"41",49
"42",51
"43",52
"44",53
"45",55
"46",57
"47",58
"48",59
"49",60
"50",62
"51",63
"52",64
"53",65
"54",66
"55",67
"56",68
"57",70
"58",71
"59",72
"60",73
"61",74
"62",75
"63",76
"64",77
"65",78
"66",79
"67",81
"68",83
"69",84
"70",85
"71",86
"72",87
"73",88
"74",89
"75",91
"76",92
"77",93
"78",94
"79",95
"80",96
"81",97
"82",98
"83",100
"84",101
"85",102
"86",107
"87",108
"88",110
"89",111
"90",112
"91",113
"92",114
"93",115
"94",116
"95",117
"96",118
"97",119
"98",121
"99",122
"100",123
"101",124
"102",125
"103",126
"104",127
"105",129
"106",130
"107",131
"108",132
"109",133
"110",134
"111",135
"112",136
"113",137
"114",138
"115",139
"116",140
"117",141
"118",142
"119",143
"120",144
"121",145
"122",146
"123",147
"124",150
"125",152
"126",153
"127",154
"128",155
"129",156
"130",157
"131",158
"132",159
"133",161
"134",162
"135",163
"136",164
"137",165
"138",167
"139",168
"140",170
"141",173
"142",175
"143",176
"144",178
"145",179
"146",180
"147",181
"148",182
"149",183
"150",184
"151",186
"152",187
"153",188
"154",191
"155",193
"156",194
"157",196
"158",197
"159",198
"160",199
