"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",9
"9",10
"10",11
"11",13
"12",14
"13",15
"14",17
"15",19
"16",20
"17",21
"18",22
"19",23
"20",24
"21",25
"22",26
"23",28
"24",30
"25",31
"26",32
"27",33
"28",35
"29",36
"30",38
"31",39
"32",40
"33",41
"34",42
"35",43
"36",46
"37",47
"38",48
"39",49
"40",50
"41",51
"42",52
"43",54
"44",55
"45",56
"46",57
"47",58
"48",59
"49",60
"50",62
"51",63
"52",65
"53",66
"54",68
"55",69
"56",70
"57",71
"58",72
"59",73
"60",78
"61",79
"62",80
"63",81
"64",82
"65",84
"66",86
"67",87
"68",88
"69",89
"70",90
"71",91
"72",92
"73",93
"74",94
"75",95
"76",96
"77",98
"78",99
"79",100
"80",101
"81",102
"82",107
"83",108
"84",109
"85",110
"86",111
"87",112
"88",113
"89",114
"90",115
"91",116
"92",118
"93",119
"94",120
"95",121
"96",122
"97",123
"98",124
"99",126
"100",127
"101",128
"102",129
"103",130
"104",131
"105",133
"106",134
"107",135
"108",136
"109",137
"110",139
"111",140
"112",141
"113",142
"114",143
"115",144
"116",145
"117",146
"118",147
"119",149
"120",150
"121",151
"122",152
"123",153
"124",154
"125",156
"126",157
"127",158
"128",159
"129",160
"130",163
"131",164
"132",165
"133",166
"134",168
"135",169
"136",170
"137",171
"138",172
"139",173
"140",174
"141",175
"142",176
"143",177
"144",178
"145",179
"146",180
"147",181
"148",182
"149",183
"150",185
"151",186
"152",188
"153",189
"154",191
"155",192
"156",193
"157",195
"158",196
"159",197
"160",199
