"","Resample1"
"1",2
"2",3
"3",4
"4",5
"5",6
"6",8
"7",9
"8",10
"9",11
"10",12
"11",13
"12",15
"13",16
"14",17
"15",19
"16",20
"17",21
"18",22
"19",23
"20",25
"21",26
"22",28
"23",29
"24",30
"25",33
"26",34
"27",35
"28",36
"29",37
"30",38
"31",39
"32",40
"33",41
"34",42
"35",43
"36",44
"37",45
"38",46
"39",47
"40",48
"41",49
"42",50
"43",51
"44",52
"45",54
"46",55
"47",56
"48",57
"49",58
"50",59
"51",62
"52",65
"53",66
"54",67
"55",69
"56",70
"57",71
"58",75
"59",76
"60",78
"61",79
"62",80
"63",81
"64",82
"65",83
"66",85
"67",87
"68",88
"69",89
"70",90
"71",92
"72",93
"73",94
"74",95
"75",97
"76",100
"77",102
"78",103
"79",104
"80",105
"81",106
"82",107
"83",108
"84",109
"85",110
"86",112
"87",113
"88",114
"89",115
"90",116
"91",117
"92",118
"93",120
"94",122
"95",123
"96",124
"97",125
"98",126
"99",127
"100",128
"101",129
"102",130
"103",131
"104",132
"105",133
"106",134
"107",135
"108",136
"109",137
"110",138
"111",140
"112",141
"113",142
"114",144
"115",145
"116",146
"117",147
"118",149
"119",150
"120",151
"121",152
"122",153
"123",154
"124",155
"125",156
"126",158
"127",159
"128",160
"129",161
"130",163
"131",165
"132",166
"133",167
"134",168
"135",169
"136",170
"137",171
"138",173
"139",174
"140",175
"141",176
"142",177
"143",179
"144",180
"145",181
"146",182
"147",183
"148",184
"149",185
"150",186
"151",187
"152",188
"153",189
"154",190
"155",193
"156",195
"157",196
"158",197
"159",198
"160",199
