"","Resample1"
"1",1
"2",3
"3",4
"4",5
"5",8
"6",9
"7",10
"8",11
"9",12
"10",13
"11",14
"12",15
"13",16
"14",17
"15",18
"16",19
"17",20
"18",21
"19",22
"20",23
"21",24
"22",27
"23",28
"24",30
"25",31
"26",32
"27",33
"28",34
"29",35
"30",36
"31",37
"32",38
"33",39
"34",40
"35",41
"36",42
"37",43
"38",44
"39",45
"40",47
"41",48
"42",50
"43",52
"44",53
"45",54
"46",55
"47",56
"48",57
"49",59
"50",60
"51",61
"52",62
"53",63
"54",65
"55",66
"56",69
"57",70
"58",71
"59",72
"60",73
"61",74
"62",75
"63",76
"64",77
"65",78
"66",79
"67",80
"68",81
"69",82
"70",84
"71",85
"72",86
"73",87
"74",88
"75",89
"76",91
"77",93
"78",94
"79",96
"80",97
"81",98
"82",99
"83",100
"84",101
"85",102
"86",103
"87",104
"88",105
"89",106
"90",107
"91",108
"92",110
"93",111
"94",112
"95",114
"96",115
"97",116
"98",117
"99",118
"100",120
"101",121
"102",122
"103",123
"104",125
"105",126
"106",127
"107",129
"108",130
"109",133
"110",134
"111",136
"112",137
"113",138
"114",140
"115",141
"116",142
"117",145
"118",146
"119",147
"120",149
"121",150
"122",151
"123",152
"124",153
"125",154
"126",155
"127",157
"128",158
"129",159
"130",160
"131",161
"132",164
"133",165
"134",166
"135",168
"136",169
"137",170
"138",172
"139",173
"140",174
"141",175
"142",176
"143",177
"144",178
"145",179
"146",181
"147",182
"148",183
"149",184
"150",185
"151",187
"152",188
"153",190
"154",191
"155",194
"156",195
"157",196
"158",197
"159",198
"160",199
