"","Resample1"
"1",1
"2",2
"3",4
"4",5
"5",6
"6",7
"7",8
"8",9
"9",11
"10",12
"11",13
"12",14
"13",15
"14",16
"15",17
"16",21
"17",22
"18",23
"19",24
"20",25
"21",26
"22",27
"23",29
"24",30
"25",31
"26",33
"27",34
"28",35
"29",37
"30",39
"31",40
"32",41
"33",42
"34",43
"35",44
"36",45
"37",46
"38",47
"39",49
"40",50
"41",51
"42",52
"43",53
"44",54
"45",56
"46",57
"47",58
"48",59
"49",60
"50",61
"51",63
"52",65
"53",66
"54",67
"55",68
"56",70
"57",72
"58",73
"59",74
"60",75
"61",76
"62",77
"63",78
"64",79
"65",80
"66",81
"67",82
"68",83
"69",85
"70",86
"71",88
"72",89
"73",90
"74",91
"75",92
"76",93
"77",96
"78",97
"79",99
"80",100
"81",102
"82",103
"83",104
"84",105
"85",107
"86",108
"87",109
"88",110
"89",111
"90",112
"91",113
"92",116
"93",117
"94",118
"95",119
"96",120
"97",121
"98",122
"99",123
"100",124
"101",125
"102",126
"103",127
"104",129
"105",130
"106",131
"107",134
"108",135
"109",136
"110",139
"111",140
"112",141
"113",142
"114",144
"115",145
"116",146
"117",148
"118",149
"119",150
"120",151
"121",152
"122",153
"123",154
"124",155
"125",156
"126",157
"127",158
"128",159
"129",160
"130",162
"131",163
"132",164
"133",166
"134",168
"135",169
"136",172
"137",173
"138",174
"139",175
"140",176
"141",177
"142",178
"143",180
"144",181
"145",182
"146",183
"147",184
"148",185
"149",186
"150",187
"151",188
"152",189
"153",190
"154",192
"155",194
"156",195
"157",196
"158",197
"159",198
"160",199
