"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",6
"6",7
"7",9
"8",11
"9",12
"10",14
"11",15
"12",16
"13",18
"14",19
"15",20
"16",21
"17",22
"18",23
"19",24
"20",25
"21",27
"22",28
"23",29
"24",30
"25",31
"26",32
"27",33
"28",34
"29",35
"30",38
"31",40
"32",41
"33",42
"34",43
"35",44
"36",45
"37",47
"38",48
"39",49
"40",52
"41",54
"42",56
"43",57
"44",59
"45",60
"46",61
"47",62
"48",63
"49",64
"50",65
"51",66
"52",67
"53",68
"54",69
"55",70
"56",71
"57",72
"58",75
"59",76
"60",78
"61",79
"62",80
"63",81
"64",82
"65",83
"66",84
"67",85
"68",86
"69",87
"70",88
"71",89
"72",91
"73",92
"74",93
"75",94
"76",95
"77",96
"78",97
"79",98
"80",100
"81",101
"82",102
"83",103
"84",104
"85",106
"86",109
"87",110
"88",114
"89",115
"90",116
"91",117
"92",118
"93",119
"94",120
"95",122
"96",123
"97",126
"98",127
"99",128
"100",129
"101",130
"102",131
"103",132
"104",134
"105",135
"106",136
"107",137
"108",138
"109",140
"110",141
"111",142
"112",143
"113",144
"114",145
"115",146
"116",147
"117",148
"118",149
"119",150
"120",151
"121",152
"122",153
"123",154
"124",155
"125",156
"126",157
"127",158
"128",159
"129",160
"130",161
"131",162
"132",164
"133",167
"134",169
"135",170
"136",171
"137",172
"138",173
"139",174
"140",175
"141",176
"142",178
"143",179
"144",180
"145",181
"146",183
"147",185
"148",186
"149",187
"150",188
"151",189
"152",190
"153",191
"154",192
"155",193
"156",195
"157",196
"158",197
"159",198
"160",199
