"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",9
"10",10
"11",11
"12",12
"13",13
"14",14
"15",15
"16",16
"17",17
"18",19
"19",21
"20",24
"21",26
"22",27
"23",28
"24",29
"25",32
"26",33
"27",34
"28",35
"29",36
"30",37
"31",39
"32",40
"33",42
"34",44
"35",45
"36",46
"37",47
"38",48
"39",50
"40",51
"41",54
"42",55
"43",56
"44",57
"45",58
"46",59
"47",60
"48",61
"49",62
"50",63
"51",64
"52",65
"53",66
"54",67
"55",68
"56",69
"57",70
"58",71
"59",72
"60",73
"61",74
"62",75
"63",76
"64",78
"65",79
"66",80
"67",82
"68",83
"69",84
"70",85
"71",86
"72",87
"73",88
"74",90
"75",92
"76",93
"77",94
"78",96
"79",97
"80",98
"81",99
"82",100
"83",101
"84",102
"85",103
"86",104
"87",105
"88",106
"89",108
"90",109
"91",110
"92",111
"93",112
"94",113
"95",114
"96",115
"97",116
"98",117
"99",118
"100",120
"101",121
"102",123
"103",124
"104",125
"105",127
"106",128
"107",129
"108",130
"109",131
"110",133
"111",134
"112",135
"113",136
"114",137
"115",139
"116",140
"117",141
"118",142
"119",143
"120",144
"121",145
"122",146
"123",147
"124",148
"125",151
"126",152
"127",153
"128",154
"129",155
"130",156
"131",158
"132",160
"133",161
"134",162
"135",163
"136",164
"137",165
"138",166
"139",167
"140",169
"141",171
"142",174
"143",175
"144",177
"145",178
"146",179
"147",180
"148",181
"149",182
"150",184
"151",185
"152",188
"153",189
"154",191
"155",192
"156",193
"157",194
"158",196
"159",197
"160",199
