"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",7
"7",9
"8",10
"9",11
"10",13
"11",14
"12",15
"13",16
"14",17
"15",18
"16",19
"17",21
"18",22
"19",23
"20",24
"21",25
"22",27
"23",28
"24",30
"25",31
"26",32
"27",33
"28",34
"29",35
"30",36
"31",38
"32",39
"33",40
"34",42
"35",44
"36",45
"37",46
"38",50
"39",51
"40",52
"41",54
"42",56
"43",57
"44",58
"45",59
"46",61
"47",62
"48",63
"49",64
"50",65
"51",66
"52",67
"53",68
"54",70
"55",71
"56",72
"57",73
"58",75
"59",76
"60",77
"61",78
"62",79
"63",80
"64",81
"65",82
"66",83
"67",84
"68",85
"69",86
"70",88
"71",89
"72",90
"73",91
"74",92
"75",93
"76",94
"77",95
"78",97
"79",98
"80",99
"81",100
"82",101
"83",102
"84",103
"85",104
"86",105
"87",106
"88",107
"89",108
"90",109
"91",111
"92",112
"93",113
"94",114
"95",115
"96",116
"97",117
"98",118
"99",119
"100",120
"101",121
"102",122
"103",123
"104",125
"105",128
"106",129
"107",131
"108",132
"109",133
"110",134
"111",135
"112",136
"113",137
"114",138
"115",139
"116",140
"117",141
"118",143
"119",145
"120",146
"121",147
"122",148
"123",149
"124",151
"125",152
"126",153
"127",154
"128",155
"129",156
"130",158
"131",159
"132",161
"133",162
"134",163
"135",164
"136",166
"137",167
"138",168
"139",170
"140",171
"141",173
"142",174
"143",175
"144",177
"145",178
"146",180
"147",181
"148",182
"149",184
"150",185
"151",186
"152",187
"153",188
"154",189
"155",190
"156",191
"157",195
"158",197
"159",198
"160",199
