"","Resample1"
"1",1
"2",3
"3",4
"4",5
"5",6
"6",8
"7",10
"8",11
"9",13
"10",14
"11",15
"12",16
"13",17
"14",19
"15",20
"16",21
"17",23
"18",24
"19",25
"20",26
"21",27
"22",28
"23",29
"24",30
"25",31
"26",33
"27",34
"28",35
"29",36
"30",37
"31",39
"32",40
"33",41
"34",42
"35",43
"36",44
"37",45
"38",46
"39",47
"40",48
"41",49
"42",50
"43",51
"44",52
"45",54
"46",55
"47",56
"48",58
"49",59
"50",60
"51",61
"52",62
"53",64
"54",65
"55",66
"56",68
"57",69
"58",70
"59",71
"60",72
"61",75
"62",76
"63",77
"64",80
"65",82
"66",83
"67",84
"68",86
"69",88
"70",89
"71",90
"72",91
"73",92
"74",93
"75",95
"76",97
"77",98
"78",99
"79",100
"80",101
"81",102
"82",103
"83",104
"84",105
"85",107
"86",108
"87",110
"88",111
"89",112
"90",113
"91",114
"92",115
"93",116
"94",117
"95",118
"96",119
"97",121
"98",122
"99",123
"100",125
"101",126
"102",128
"103",129
"104",131
"105",132
"106",133
"107",134
"108",135
"109",136
"110",137
"111",139
"112",140
"113",142
"114",143
"115",144
"116",146
"117",147
"118",148
"119",149
"120",150
"121",151
"122",152
"123",153
"124",154
"125",156
"126",157
"127",159
"128",160
"129",162
"130",163
"131",164
"132",165
"133",166
"134",168
"135",169
"136",170
"137",171
"138",173
"139",174
"140",175
"141",177
"142",179
"143",180
"144",181
"145",182
"146",183
"147",184
"148",185
"149",186
"150",187
"151",188
"152",189
"153",190
"154",191
"155",192
"156",195
"157",196
"158",197
"159",198
"160",199
