"","Resample1"
"1",1
"2",3
"3",4
"4",5
"5",6
"6",8
"7",9
"8",10
"9",11
"10",12
"11",13
"12",15
"13",16
"14",17
"15",18
"16",19
"17",20
"18",22
"19",23
"20",25
"21",26
"22",28
"23",29
"24",30
"25",31
"26",32
"27",34
"28",35
"29",36
"30",37
"31",39
"32",40
"33",41
"34",42
"35",43
"36",44
"37",46
"38",48
"39",49
"40",50
"41",51
"42",52
"43",57
"44",58
"45",60
"46",62
"47",63
"48",64
"49",67
"50",68
"51",69
"52",70
"53",71
"54",73
"55",74
"56",75
"57",76
"58",77
"59",78
"60",79
"61",80
"62",81
"63",84
"64",85
"65",87
"66",88
"67",90
"68",93
"69",94
"70",95
"71",96
"72",97
"73",98
"74",99
"75",100
"76",101
"77",102
"78",103
"79",104
"80",105
"81",106
"82",107
"83",109
"84",110
"85",111
"86",112
"87",114
"88",115
"89",118
"90",119
"91",121
"92",122
"93",123
"94",124
"95",125
"96",126
"97",127
"98",129
"99",130
"100",131
"101",132
"102",133
"103",134
"104",135
"105",136
"106",137
"107",138
"108",139
"109",140
"110",141
"111",142
"112",143
"113",145
"114",147
"115",148
"116",149
"117",150
"118",151
"119",153
"120",154
"121",155
"122",156
"123",157
"124",158
"125",159
"126",160
"127",161
"128",162
"129",163
"130",165
"131",166
"132",167
"133",168
"134",170
"135",171
"136",172
"137",173
"138",174
"139",175
"140",177
"141",178
"142",179
"143",180
"144",181
"145",182
"146",183
"147",184
"148",185
"149",186
"150",187
"151",188
"152",189
"153",190
"154",191
"155",193
"156",194
"157",195
"158",196
"159",197
"160",199
