"","Resample1"
"1",1
"2",3
"3",4
"4",5
"5",6
"6",7
"7",11
"8",12
"9",13
"10",15
"11",16
"12",17
"13",18
"14",20
"15",21
"16",22
"17",23
"18",24
"19",25
"20",26
"21",27
"22",28
"23",29
"24",30
"25",31
"26",32
"27",33
"28",34
"29",38
"30",39
"31",40
"32",42
"33",43
"34",44
"35",45
"36",47
"37",48
"38",49
"39",50
"40",51
"41",53
"42",54
"43",55
"44",56
"45",57
"46",58
"47",59
"48",60
"49",61
"50",62
"51",63
"52",64
"53",65
"54",66
"55",68
"56",71
"57",72
"58",74
"59",75
"60",77
"61",78
"62",79
"63",80
"64",81
"65",82
"66",83
"67",86
"68",87
"69",88
"70",89
"71",90
"72",91
"73",92
"74",93
"75",94
"76",95
"77",96
"78",97
"79",98
"80",99
"81",100
"82",101
"83",102
"84",104
"85",106
"86",109
"87",110
"88",112
"89",114
"90",117
"91",118
"92",119
"93",120
"94",121
"95",122
"96",123
"97",125
"98",126
"99",127
"100",128
"101",130
"102",131
"103",132
"104",133
"105",134
"106",135
"107",137
"108",138
"109",139
"110",140
"111",141
"112",142
"113",143
"114",144
"115",145
"116",147
"117",149
"118",151
"119",152
"120",153
"121",155
"122",156
"123",157
"124",160
"125",161
"126",162
"127",163
"128",164
"129",165
"130",166
"131",167
"132",168
"133",170
"134",171
"135",172
"136",174
"137",176
"138",177
"139",178
"140",179
"141",180
"142",181
"143",182
"144",183
"145",184
"146",185
"147",186
"148",187
"149",188
"150",189
"151",190
"152",191
"153",192
"154",193
"155",194
"156",195
"157",196
"158",197
"159",198
"160",199
