"","Resample1"
"1",1
"2",2
"3",3
"4",5
"5",6
"6",7
"7",8
"8",10
"9",12
"10",13
"11",16
"12",17
"13",18
"14",19
"15",20
"16",21
"17",22
"18",23
"19",25
"20",26
"21",27
"22",28
"23",29
"24",30
"25",31
"26",32
"27",33
"28",34
"29",35
"30",36
"31",37
"32",38
"33",39
"34",40
"35",41
"36",42
"37",43
"38",44
"39",45
"40",46
"41",47
"42",49
"43",52
"44",53
"45",54
"46",55
"47",56
"48",58
"49",59
"50",60
"51",63
"52",64
"53",65
"54",67
"55",68
"56",71
"57",72
"58",73
"59",74
"60",75
"61",76
"62",78
"63",79
"64",80
"65",82
"66",83
"67",84
"68",85
"69",86
"70",89
"71",90
"72",91
"73",92
"74",93
"75",94
"76",95
"77",96
"78",97
"79",98
"80",99
"81",100
"82",101
"83",102
"84",103
"85",104
"86",105
"87",106
"88",107
"89",108
"90",110
"91",112
"92",113
"93",114
"94",115
"95",117
"96",119
"97",120
"98",121
"99",122
"100",123
"101",124
"102",126
"103",129
"104",130
"105",131
"106",132
"107",133
"108",134
"109",136
"110",137
"111",139
"112",142
"113",143
"114",144
"115",145
"116",146
"117",147
"118",148
"119",149
"120",150
"121",151
"122",152
"123",153
"124",154
"125",156
"126",157
"127",159
"128",160
"129",161
"130",163
"131",164
"132",165
"133",166
"134",167
"135",168
"136",169
"137",170
"138",172
"139",173
"140",174
"141",175
"142",178
"143",179
"144",180
"145",181
"146",182
"147",184
"148",185
"149",186
"150",187
"151",188
"152",189
"153",190
"154",191
"155",192
"156",193
"157",195
"158",196
"159",197
"160",199
