"","Resample1"
"1",1
"2",2
"3",3
"4",5
"5",6
"6",8
"7",9
"8",10
"9",11
"10",12
"11",14
"12",15
"13",18
"14",19
"15",20
"16",21
"17",22
"18",23
"19",24
"20",26
"21",27
"22",28
"23",29
"24",30
"25",32
"26",33
"27",34
"28",35
"29",36
"30",37
"31",38
"32",40
"33",41
"34",42
"35",44
"36",45
"37",46
"38",47
"39",49
"40",50
"41",52
"42",53
"43",54
"44",55
"45",56
"46",57
"47",58
"48",59
"49",60
"50",61
"51",64
"52",65
"53",66
"54",68
"55",69
"56",71
"57",72
"58",73
"59",74
"60",76
"61",78
"62",79
"63",80
"64",81
"65",82
"66",83
"67",85
"68",86
"69",88
"70",89
"71",93
"72",94
"73",95
"74",96
"75",97
"76",98
"77",99
"78",100
"79",101
"80",102
"81",103
"82",104
"83",105
"84",107
"85",109
"86",110
"87",111
"88",112
"89",113
"90",114
"91",116
"92",117
"93",118
"94",119
"95",120
"96",121
"97",122
"98",124
"99",125
"100",126
"101",127
"102",128
"103",129
"104",130
"105",131
"106",132
"107",133
"108",134
"109",135
"110",136
"111",138
"112",139
"113",140
"114",141
"115",144
"116",145
"117",146
"118",147
"119",148
"120",149
"121",152
"122",153
"123",155
"124",156
"125",158
"126",159
"127",161
"128",162
"129",164
"130",165
"131",166
"132",167
"133",168
"134",169
"135",170
"136",171
"137",172
"138",173
"139",174
"140",175
"141",177
"142",178
"143",179
"144",180
"145",181
"146",182
"147",183
"148",184
"149",185
"150",187
"151",188
"152",190
"153",191
"154",192
"155",193
"156",194
"157",196
"158",197
"159",198
"160",199
