"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",9
"9",10
"10",11
"11",12
"12",13
"13",14
"14",15
"15",18
"16",20
"17",21
"18",23
"19",24
"20",25
"21",26
"22",27
"23",28
"24",29
"25",31
"26",32
"27",33
"28",34
"29",35
"30",36
"31",38
"32",40
"33",41
"34",42
"35",43
"36",44
"37",45
"38",46
"39",47
"40",48
"41",49
"42",50
"43",51
"44",53
"45",54
"46",55
"47",56
"48",57
"49",58
"50",59
"51",60
"52",61
"53",62
"54",63
"55",65
"56",66
"57",67
"58",68
"59",69
"60",70
"61",72
"62",74
"63",76
"64",77
"65",78
"66",79
"67",81
"68",82
"69",84
"70",85
"71",86
"72",89
"73",91
"74",92
"75",94
"76",96
"77",97
"78",98
"79",99
"80",100
"81",101
"82",102
"83",103
"84",104
"85",106
"86",107
"87",108
"88",109
"89",110
"90",113
"91",114
"92",115
"93",116
"94",117
"95",119
"96",122
"97",123
"98",124
"99",125
"100",126
"101",127
"102",128
"103",129
"104",130
"105",131
"106",132
"107",133
"108",134
"109",135
"110",136
"111",137
"112",140
"113",141
"114",142
"115",143
"116",144
"117",145
"118",146
"119",147
"120",148
"121",149
"122",150
"123",151
"124",152
"125",155
"126",156
"127",159
"128",160
"129",161
"130",162
"131",163
"132",165
"133",166
"134",167
"135",168
"136",169
"137",172
"138",173
"139",174
"140",175
"141",176
"142",179
"143",180
"144",181
"145",182
"146",183
"147",184
"148",185
"149",186
"150",187
"151",188
"152",190
"153",191
"154",192
"155",193
"156",194
"157",195
"158",196
"159",198
"160",199
