"","Resample1"
"1",1
"2",2
"3",3
"4",5
"5",6
"6",7
"7",8
"8",9
"9",10
"10",12
"11",13
"12",14
"13",17
"14",18
"15",20
"16",21
"17",22
"18",23
"19",24
"20",25
"21",27
"22",28
"23",29
"24",30
"25",31
"26",32
"27",33
"28",34
"29",35
"30",36
"31",37
"32",38
"33",39
"34",40
"35",41
"36",42
"37",43
"38",45
"39",46
"40",49
"41",50
"42",52
"43",53
"44",55
"45",57
"46",58
"47",60
"48",61
"49",62
"50",63
"51",66
"52",67
"53",69
"54",70
"55",71
"56",72
"57",74
"58",75
"59",76
"60",77
"61",78
"62",79
"63",80
"64",82
"65",83
"66",84
"67",85
"68",87
"69",88
"70",89
"71",90
"72",91
"73",92
"74",93
"75",95
"76",96
"77",97
"78",98
"79",101
"80",102
"81",103
"82",105
"83",106
"84",107
"85",108
"86",110
"87",111
"88",112
"89",113
"90",114
"91",118
"92",119
"93",121
"94",122
"95",123
"96",124
"97",125
"98",126
"99",127
"100",128
"101",129
"102",130
"103",132
"104",133
"105",134
"106",135
"107",136
"108",138
"109",139
"110",140
"111",141
"112",142
"113",143
"114",144
"115",145
"116",146
"117",147
"118",148
"119",149
"120",150
"121",151
"122",152
"123",153
"124",154
"125",155
"126",156
"127",157
"128",159
"129",160
"130",161
"131",162
"132",163
"133",164
"134",165
"135",167
"136",168
"137",169
"138",170
"139",172
"140",173
"141",174
"142",175
"143",177
"144",178
"145",179
"146",181
"147",182
"148",183
"149",184
"150",185
"151",186
"152",187
"153",188
"154",189
"155",190
"156",192
"157",195
"158",196
"159",197
"160",199
