"","Resample1"
"1",2
"2",3
"3",4
"4",5
"5",6
"6",7
"7",10
"8",11
"9",12
"10",13
"11",15
"12",17
"13",18
"14",19
"15",20
"16",21
"17",22
"18",23
"19",24
"20",25
"21",26
"22",27
"23",29
"24",30
"25",31
"26",32
"27",33
"28",34
"29",35
"30",36
"31",37
"32",40
"33",41
"34",42
"35",43
"36",44
"37",45
"38",46
"39",47
"40",48
"41",49
"42",50
"43",52
"44",54
"45",55
"46",56
"47",57
"48",59
"49",60
"50",61
"51",64
"52",65
"53",66
"54",68
"55",69
"56",70
"57",71
"58",72
"59",73
"60",74
"61",75
"62",76
"63",77
"64",78
"65",79
"66",80
"67",81
"68",83
"69",84
"70",85
"71",86
"72",87
"73",89
"74",90
"75",91
"76",92
"77",93
"78",94
"79",95
"80",96
"81",97
"82",98
"83",100
"84",101
"85",102
"86",103
"87",104
"88",105
"89",106
"90",107
"91",108
"92",109
"93",110
"94",111
"95",112
"96",113
"97",115
"98",116
"99",117
"100",118
"101",120
"102",121
"103",124
"104",125
"105",126
"106",127
"107",128
"108",129
"109",130
"110",131
"111",134
"112",135
"113",136
"114",138
"115",139
"116",141
"117",142
"118",143
"119",144
"120",145
"121",146
"122",147
"123",148
"124",150
"125",151
"126",152
"127",153
"128",154
"129",155
"130",156
"131",157
"132",158
"133",159
"134",161
"135",162
"136",163
"137",164
"138",165
"139",166
"140",167
"141",168
"142",169
"143",170
"144",174
"145",175
"146",176
"147",177
"148",178
"149",179
"150",182
"151",183
"152",184
"153",186
"154",187
"155",188
"156",189
"157",190
"158",192
"159",193
"160",194
