"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",8
"7",9
"8",10
"9",11
"10",12
"11",13
"12",14
"13",15
"14",16
"15",17
"16",18
"17",19
"18",20
"19",21
"20",22
"21",24
"22",25
"23",27
"24",28
"25",30
"26",32
"27",33
"28",34
"29",35
"30",36
"31",37
"32",38
"33",39
"34",40
"35",41
"36",42
"37",44
"38",45
"39",46
"40",47
"41",48
"42",50
"43",51
"44",53
"45",56
"46",57
"47",58
"48",60
"49",61
"50",62
"51",63
"52",64
"53",66
"54",67
"55",70
"56",71
"57",73
"58",74
"59",75
"60",77
"61",79
"62",80
"63",82
"64",83
"65",85
"66",86
"67",87
"68",88
"69",89
"70",91
"71",92
"72",94
"73",96
"74",97
"75",98
"76",102
"77",104
"78",105
"79",108
"80",109
"81",110
"82",111
"83",112
"84",115
"85",116
"86",117
"87",118
"88",119
"89",120
"90",121
"91",122
"92",123
"93",124
"94",125
"95",126
"96",127
"97",128
"98",129
"99",130
"100",131
"101",132
"102",133
"103",134
"104",135
"105",136
"106",137
"107",139
"108",140
"109",141
"110",143
"111",144
"112",145
"113",146
"114",147
"115",148
"116",149
"117",150
"118",152
"119",154
"120",155
"121",156
"122",157
"123",158
"124",160
"125",161
"126",163
"127",164
"128",165
"129",166
"130",167
"131",168
"132",169
"133",170
"134",171
"135",173
"136",174
"137",175
"138",176
"139",177
"140",178
"141",179
"142",180
"143",183
"144",184
"145",185
"146",186
"147",187
"148",188
"149",189
"150",190
"151",191
"152",192
"153",193
"154",194
"155",195
"156",196
"157",197
"158",200
"159",201
"160",202
"161",203
"162",204
"163",205
"164",206
"165",207
"166",208
"167",209
"168",210
"169",211
"170",212
"171",213
"172",214
"173",216
"174",217
"175",218
"176",219
"177",221
"178",222
"179",223
"180",224
"181",225
"182",226
