"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",7
"7",8
"8",11
"9",12
"10",13
"11",15
"12",17
"13",18
"14",19
"15",20
"16",21
"17",22
"18",25
"19",26
"20",27
"21",28
"22",29
"23",30
"24",31
"25",32
"26",33
"27",34
"28",36
"29",37
"30",38
"31",39
"32",40
"33",41
"34",42
"35",43
"36",44
"37",45
"38",46
"39",47
"40",49
"41",50
"42",51
"43",53
"44",55
"45",56
"46",57
"47",58
"48",59
"49",60
"50",61
"51",63
"52",64
"53",65
"54",67
"55",68
"56",69
"57",70
"58",71
"59",72
"60",73
"61",75
"62",77
"63",78
"64",79
"65",80
"66",81
"67",82
"68",83
"69",84
"70",85
"71",86
"72",87
"73",88
"74",89
"75",90
"76",92
"77",93
"78",94
"79",95
"80",96
"81",99
"82",100
"83",101
"84",102
"85",103
"86",104
"87",108
"88",109
"89",110
"90",112
"91",114
"92",116
"93",117
"94",118
"95",119
"96",120
"97",121
"98",122
"99",123
"100",124
"101",125
"102",126
"103",127
"104",128
"105",129
"106",133
"107",134
"108",135
"109",136
"110",137
"111",139
"112",140
"113",142
"114",143
"115",144
"116",145
"117",147
"118",148
"119",149
"120",151
"121",152
"122",154
"123",155
"124",157
"125",158
"126",159
"127",160
"128",161
"129",162
"130",163
"131",164
"132",165
"133",166
"134",167
"135",168
"136",169
"137",170
"138",172
"139",173
"140",174
"141",175
"142",176
"143",178
"144",179
"145",180
"146",181
"147",182
"148",184
"149",185
"150",186
"151",188
"152",189
"153",190
"154",191
"155",192
"156",193
"157",194
"158",195
"159",196
"160",197
"161",198
"162",199
"163",200
"164",203
"165",204
"166",205
"167",206
"168",207
"169",208
"170",209
"171",210
"172",211
"173",212
"174",217
"175",218
"176",219
"177",220
"178",221
"179",222
"180",223
"181",224
"182",226
