"","Resample1"
"1",1
"2",4
"3",5
"4",6
"5",7
"6",8
"7",9
"8",11
"9",13
"10",14
"11",16
"12",17
"13",18
"14",19
"15",20
"16",21
"17",22
"18",23
"19",24
"20",25
"21",26
"22",27
"23",28
"24",29
"25",32
"26",33
"27",35
"28",36
"29",37
"30",38
"31",39
"32",40
"33",41
"34",42
"35",43
"36",44
"37",45
"38",48
"39",49
"40",50
"41",52
"42",53
"43",54
"44",55
"45",56
"46",57
"47",58
"48",59
"49",60
"50",61
"51",63
"52",64
"53",65
"54",66
"55",67
"56",68
"57",69
"58",70
"59",73
"60",74
"61",75
"62",76
"63",77
"64",78
"65",79
"66",81
"67",82
"68",83
"69",84
"70",85
"71",88
"72",89
"73",91
"74",92
"75",93
"76",94
"77",96
"78",98
"79",100
"80",101
"81",102
"82",107
"83",108
"84",110
"85",112
"86",113
"87",114
"88",115
"89",116
"90",117
"91",118
"92",119
"93",120
"94",121
"95",123
"96",125
"97",126
"98",127
"99",128
"100",129
"101",130
"102",131
"103",132
"104",133
"105",134
"106",135
"107",136
"108",137
"109",138
"110",139
"111",141
"112",142
"113",144
"114",145
"115",146
"116",147
"117",148
"118",152
"119",153
"120",154
"121",155
"122",156
"123",157
"124",158
"125",159
"126",160
"127",161
"128",162
"129",163
"130",164
"131",165
"132",167
"133",168
"134",170
"135",171
"136",172
"137",173
"138",174
"139",175
"140",176
"141",177
"142",178
"143",179
"144",180
"145",181
"146",182
"147",184
"148",186
"149",187
"150",188
"151",189
"152",190
"153",191
"154",192
"155",193
"156",195
"157",196
"158",197
"159",198
"160",199
"161",200
"162",201
"163",202
"164",203
"165",204
"166",205
"167",208
"168",209
"169",211
"170",212
"171",214
"172",215
"173",216
"174",217
"175",218
"176",219
"177",220
"178",221
"179",223
"180",224
"181",225
"182",226
