"","Resample1"
"1",1
"2",2
"3",5
"4",6
"5",7
"6",8
"7",9
"8",10
"9",11
"10",13
"11",14
"12",15
"13",16
"14",18
"15",19
"16",20
"17",21
"18",22
"19",23
"20",24
"21",26
"22",27
"23",28
"24",30
"25",31
"26",32
"27",33
"28",34
"29",35
"30",38
"31",39
"32",40
"33",41
"34",42
"35",45
"36",46
"37",47
"38",48
"39",49
"40",50
"41",51
"42",52
"43",53
"44",54
"45",56
"46",57
"47",58
"48",59
"49",60
"50",61
"51",62
"52",63
"53",64
"54",65
"55",68
"56",69
"57",70
"58",71
"59",72
"60",74
"61",76
"62",77
"63",78
"64",79
"65",80
"66",83
"67",84
"68",85
"69",86
"70",87
"71",89
"72",90
"73",91
"74",92
"75",93
"76",94
"77",95
"78",96
"79",97
"80",98
"81",99
"82",100
"83",101
"84",102
"85",103
"86",104
"87",105
"88",106
"89",109
"90",111
"91",112
"92",113
"93",114
"94",115
"95",117
"96",118
"97",119
"98",120
"99",121
"100",122
"101",123
"102",124
"103",125
"104",126
"105",127
"106",128
"107",129
"108",131
"109",132
"110",135
"111",136
"112",137
"113",139
"114",140
"115",141
"116",142
"117",143
"118",144
"119",145
"120",146
"121",147
"122",148
"123",149
"124",150
"125",152
"126",153
"127",154
"128",156
"129",157
"130",160
"131",161
"132",162
"133",163
"134",164
"135",165
"136",166
"137",168
"138",170
"139",171
"140",172
"141",173
"142",175
"143",177
"144",179
"145",180
"146",181
"147",183
"148",184
"149",185
"150",186
"151",187
"152",188
"153",189
"154",190
"155",191
"156",193
"157",194
"158",195
"159",196
"160",197
"161",200
"162",201
"163",203
"164",204
"165",205
"166",207
"167",208
"168",209
"169",210
"170",211
"171",212
"172",213
"173",214
"174",215
"175",217
"176",218
"177",220
"178",221
"179",222
"180",224
"181",225
"182",226
