"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",9
"10",11
"11",12
"12",13
"13",14
"14",16
"15",17
"16",19
"17",20
"18",21
"19",26
"20",27
"21",28
"22",29
"23",30
"24",31
"25",32
"26",33
"27",34
"28",35
"29",36
"30",37
"31",38
"32",39
"33",41
"34",44
"35",45
"36",46
"37",47
"38",48
"39",49
"40",51
"41",52
"42",53
"43",54
"44",55
"45",56
"46",57
"47",58
"48",59
"49",60
"50",61
"51",62
"52",63
"53",64
"54",65
"55",67
"56",70
"57",71
"58",72
"59",73
"60",74
"61",75
"62",76
"63",77
"64",78
"65",79
"66",81
"67",82
"68",83
"69",84
"70",85
"71",86
"72",87
"73",88
"74",89
"75",90
"76",91
"77",92
"78",93
"79",94
"80",95
"81",96
"82",97
"83",98
"84",99
"85",100
"86",101
"87",102
"88",103
"89",105
"90",106
"91",107
"92",108
"93",109
"94",110
"95",112
"96",115
"97",116
"98",118
"99",119
"100",120
"101",121
"102",123
"103",124
"104",126
"105",127
"106",128
"107",129
"108",130
"109",131
"110",132
"111",133
"112",134
"113",135
"114",136
"115",137
"116",138
"117",139
"118",141
"119",142
"120",144
"121",146
"122",147
"123",148
"124",149
"125",150
"126",152
"127",153
"128",158
"129",159
"130",160
"131",161
"132",162
"133",163
"134",164
"135",166
"136",167
"137",168
"138",169
"139",170
"140",171
"141",173
"142",174
"143",176
"144",177
"145",178
"146",179
"147",182
"148",183
"149",185
"150",186
"151",188
"152",189
"153",190
"154",191
"155",192
"156",193
"157",195
"158",196
"159",197
"160",198
"161",199
"162",200
"163",201
"164",203
"165",204
"166",205
"167",206
"168",208
"169",210
"170",212
"171",213
"172",214
"173",215
"174",217
"175",218
"176",219
"177",220
"178",221
"179",222
"180",223
"181",224
"182",225
