"","Resample1"
"1",1
"2",2
"3",5
"4",6
"5",7
"6",8
"7",9
"8",10
"9",11
"10",12
"11",13
"12",14
"13",15
"14",16
"15",18
"16",19
"17",21
"18",22
"19",23
"20",24
"21",25
"22",27
"23",28
"24",29
"25",30
"26",32
"27",33
"28",35
"29",36
"30",37
"31",39
"32",40
"33",41
"34",42
"35",43
"36",44
"37",45
"38",47
"39",49
"40",50
"41",51
"42",52
"43",53
"44",54
"45",55
"46",56
"47",58
"48",59
"49",60
"50",61
"51",66
"52",67
"53",69
"54",70
"55",71
"56",72
"57",73
"58",74
"59",76
"60",78
"61",79
"62",80
"63",82
"64",84
"65",85
"66",86
"67",88
"68",89
"69",90
"70",92
"71",93
"72",94
"73",95
"74",96
"75",97
"76",98
"77",99
"78",100
"79",101
"80",102
"81",103
"82",104
"83",105
"84",106
"85",107
"86",108
"87",109
"88",110
"89",111
"90",112
"91",113
"92",114
"93",115
"94",116
"95",117
"96",118
