"","Resample1"
"1",2
"2",4
"3",6
"4",7
"5",8
"6",9
"7",10
"8",11
"9",12
"10",13
"11",14
"12",15
"13",16
"14",17
"15",18
"16",19
"17",20
"18",21
"19",22
"20",23
"21",24
"22",25
"23",26
"24",27
"25",28
"26",30
"27",31
"28",32
"29",33
"30",35
"31",36
"32",38
"33",39
"34",40
"35",41
"36",42
"37",43
"38",44
"39",45
"40",46
"41",47
"42",49
"43",50
"44",51
"45",52
"46",53
"47",54
"48",55
"49",56
"50",58
"51",59
"52",60
"53",62
"54",68
"55",69
"56",70
"57",71
"58",72
"59",74
"60",75
"61",76
"62",77
"63",78
"64",79
"65",80
"66",81
"67",82
"68",84
"69",85
"70",87
"71",89
"72",90
"73",91
"74",92
"75",93
"76",94
"77",95
"78",96
"79",97
"80",98
"81",100
"82",101
"83",102
"84",103
"85",104
"86",105
"87",106
"88",107
"89",108
"90",109
"91",110
"92",111
"93",112
"94",113
"95",115
"96",116
