"","Resample1"
"1",1
"2",3
"3",4
"4",5
"5",6
"6",7
"7",9
"8",10
"9",11
"10",12
"11",13
"12",14
"13",15
"14",16
"15",17
"16",18
"17",20
"18",21
"19",22
"20",23
"21",24
"22",27
"23",28
"24",30
"25",31
"26",33
"27",34
"28",35
"29",36
"30",37
"31",38
"32",40
"33",41
"34",43
"35",44
"36",46
"37",47
"38",48
"39",49
"40",51
"41",52
"42",53
"43",54
"44",55
"45",56
"46",57
"47",58
"48",59
"49",61
"50",62
"51",63
"52",64
"53",65
"54",66
"55",67
"56",68
"57",69
"58",70
"59",71
"60",72
"61",74
"62",75
"63",76
"64",77
"65",78
"66",79
"67",80
"68",81
"69",83
"70",84
"71",86
"72",87
"73",88
"74",89
"75",92
"76",94
"77",95
"78",96
"79",97
"80",98
"81",99
"82",100
"83",101
"84",103
"85",104
"86",106
"87",107
"88",108
"89",110
"90",111
"91",112
"92",113
"93",115
"94",116
"95",117
"96",118
