"","Resample1"
"1",1
"2",2
"3",3
"4",5
"5",6
"6",7
"7",8
"8",10
"9",11
"10",12
"11",13
"12",14
"13",15
"14",17
"15",18
"16",19
"17",20
"18",21
"19",22
"20",23
"21",24
"22",25
"23",26
"24",28
"25",29
"26",31
"27",32
"28",35
"29",36
"30",37
"31",38
"32",39
"33",40
"34",41
"35",42
"36",43
"37",45
"38",46
"39",47
"40",49
"41",50
"42",52
"43",53
"44",54
"45",56
"46",58
"47",59
"48",61
"49",62
"50",63
"51",64
"52",65
"53",66
"54",67
"55",68
"56",69
"57",70
"58",72
"59",75
"60",76
"61",77
"62",78
"63",79
"64",80
"65",81
"66",82
"67",83
"68",84
"69",86
"70",87
"71",88
"72",89
"73",90
"74",92
"75",93
"76",94
"77",95
"78",96
"79",97
"80",98
"81",99
"82",102
"83",103
"84",104
"85",105
"86",106
"87",108
"88",110
"89",111
"90",112
"91",113
"92",114
"93",115
"94",116
"95",117
"96",118
