"","Resample1"
"1",1
"2",2
"3",3
"4",5
"5",6
"6",7
"7",8
"8",9
"9",10
"10",11
"11",13
"12",15
"13",16
"14",17
"15",18
"16",19
"17",20
"18",21
"19",22
"20",23
"21",24
"22",25
"23",26
"24",28
"25",29
"26",30
"27",32
"28",33
"29",34
"30",35
"31",37
"32",39
"33",40
"34",41
"35",42
"36",44
"37",45
"38",46
"39",47
"40",48
"41",49
"42",50
"43",51
"44",54
"45",55
"46",56
"47",57
"48",58
"49",59
"50",60
"51",61
"52",62
"53",63
"54",64
"55",66
"56",67
"57",69
"58",70
"59",71
"60",74
"61",75
"62",76
"63",77
"64",79
"65",81
"66",82
"67",83
"68",84
"69",85
"70",87
"71",88
"72",89
"73",91
"74",92
"75",93
"76",94
"77",96
"78",99
"79",100
"80",101
"81",102
"82",103
"83",104
"84",105
"85",106
"86",107
"87",108
"88",109
"89",110
"90",111
"91",112
"92",114
"93",115
"94",116
"95",117
"96",118
