"","Resample1"
"1",1
"2",2
"3",3
"4",5
"5",6
"6",7
"7",8
"8",9
"9",10
"10",11
"11",12
"12",13
"13",14
"14",15
"15",16
"16",19
"17",20
"18",21
"19",22
"20",23
"21",26
"22",27
"23",28
"24",29
"25",31
"26",33
"27",34
"28",35
"29",36
"30",38
"31",39
"32",40
"33",41
"34",42
"35",43
"36",44
"37",46
"38",47
"39",48
"40",50
"41",51
"42",52
"43",53
"44",54
"45",55
"46",57
"47",59
"48",61
"49",62
"50",64
"51",65
"52",66
"53",67
"54",68
"55",69
"56",70
"57",71
"58",72
"59",73
"60",74
"61",75
"62",77
"63",78
"64",79
"65",80
"66",81
"67",83
"68",84
"69",85
"70",86
"71",90
"72",91
"73",92
"74",93
"75",94
"76",95
"77",96
"78",97
"79",99
"80",100
"81",102
"82",103
"83",104
"84",105
"85",106
"86",107
"87",108
"88",109
"89",110
"90",111
"91",112
"92",114
"93",115
"94",116
"95",117
"96",118
