"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",9
"10",10
"11",11
"12",12
"13",14
"14",15
"15",16
"16",18
"17",21
"18",22
"19",23
"20",24
"21",25
"22",26
"23",27
"24",28
"25",29
"26",30
"27",32
"28",33
"29",34
"30",36
"31",37
"32",39
"33",42
"34",43
"35",44
"36",45
"37",46
"38",47
"39",48
"40",49
"41",50
"42",51
"43",52
"44",53
"45",55
"46",57
"47",58
"48",59
"49",60
"50",62
"51",64
"52",65
"53",66
"54",67
"55",68
"56",69
"57",70
"58",71
"59",72
"60",73
"61",74
"62",75
"63",76
"64",77
"65",78
"66",79
"67",81
"68",82
"69",83
"70",84
"71",85
"72",86
"73",87
"74",89
"75",91
"76",92
"77",93
"78",94
"79",95
"80",96
"81",97
"82",98
"83",99
"84",100
"85",101
"86",102
"87",103
"88",105
"89",107
"90",109
"91",111
"92",112
"93",113
"94",114
"95",115
"96",117
