"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",7
"7",8
"8",9
"9",10
"10",11
"11",12
"12",13
"13",15
"14",16
"15",17
"16",19
"17",20
"18",21
"19",22
"20",23
"21",24
"22",25
"23",26
"24",27
"25",28
"26",29
"27",31
"28",33
"29",34
"30",35
"31",36
"32",37
"33",38
"34",39
"35",40
"36",41
"37",44
"38",45
"39",46
"40",47
"41",48
"42",51
"43",52
"44",53
"45",54
"46",55
"47",56
"48",57
"49",59
"50",61
"51",62
"52",63
"53",64
"54",65
"55",66
"56",67
"57",69
"58",70
"59",71
"60",72
"61",73
"62",75
"63",77
"64",78
"65",81
"66",82
"67",83
"68",84
"69",85
"70",86
"71",88
"72",89
"73",90
"74",91
"75",92
"76",94
"77",95
"78",96
"79",98
"80",99
"81",100
"82",101
"83",102
"84",104
"85",105
"86",106
"87",107
"88",108
"89",109
"90",110
"91",111
"92",114
"93",115
"94",116
"95",117
"96",118
