"","Resample1"
"1",1
"2",2
"3",3
"4",5
"5",6
"6",7
"7",8
"8",9
"9",10
"10",11
"11",13
"12",14
"13",16
"14",17
"15",18
"16",19
"17",20
"18",21
"19",22
"20",24
"21",25
"22",26
"23",27
"24",28
"25",29
"26",31
"27",33
"28",34
"29",35
"30",36
"31",37
"32",38
"33",39
"34",40
"35",41
"36",42
"37",43
"38",44
"39",45
"40",46
"41",47
"42",48
"43",50
"44",51
"45",52
"46",54
"47",55
"48",58
"49",59
"50",60
"51",61
"52",62
"53",64
"54",65
"55",66
"56",67
"57",69
"58",70
"59",71
"60",73
"61",74
"62",75
"63",76
"64",77
"65",78
"66",81
"67",82
"68",83
"69",84
"70",85
"71",86
"72",87
"73",88
"74",89
"75",90
"76",91
"77",92
"78",93
"79",94
"80",95
"81",97
"82",98
"83",99
"84",101
"85",102
"86",105
"87",107
"88",108
"89",109
"90",111
"91",112
"92",114
"93",115
"94",116
"95",117
"96",118
