"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",7
"7",9
"8",10
"9",11
"10",12
"11",14
"12",15
"13",16
"14",17
"15",18
"16",19
"17",20
"18",21
"19",23
"20",25
"21",26
"22",27
"23",29
"24",30
"25",31
"26",33
"27",34
"28",36
"29",37
"30",38
"31",39
"32",41
"33",42
"34",43
"35",45
"36",46
"37",47
"38",48
"39",49
"40",50
"41",51
"42",52
"43",53
"44",54
"45",55
"46",57
"47",59
"48",60
"49",61
"50",62
"51",63
"52",64
"53",65
"54",66
"55",67
"56",68
"57",69
"58",70
"59",71
"60",72
"61",73
"62",74
"63",75
"64",76
"65",77
"66",78
"67",79
"68",80
"69",81
"70",84
"71",85
"72",86
"73",88
"74",90
"75",91
"76",92
"77",94
"78",96
"79",97
"80",98
"81",99
"82",101
"83",102
"84",103
"85",104
"86",105
"87",106
"88",107
"89",108
"90",110
"91",112
"92",114
"93",115
"94",116
"95",117
"96",118
