"","Resample1"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",9
"8",10
"9",11
"10",12
"11",13
"12",14
"13",15
"14",16
"15",17
"16",18
"17",20
"18",21
"19",23
"20",24
"21",25
"22",26
"23",27
"24",28
"25",29
"26",30
"27",32
"28",33
"29",34
"30",35
"31",36
"32",38
"33",39
"34",40
"35",41
"36",43
"37",44
"38",45
"39",46
"40",47
"41",48
"42",49
"43",50
"44",51
"45",52
"46",55
"47",56
"48",57
"49",58
"50",60
"51",61
"52",62
"53",63
"54",64
"55",66
"56",67
"57",68
"58",69
"59",70
"60",72
"61",74
"62",75
"63",76
"64",78
"65",79
"66",81
"67",82
"68",83
"69",84
"70",88
"71",90
"72",91
"73",92
"74",94
"75",95
"76",96
"77",98
"78",99
"79",100
"80",101
"81",102
"82",103
"83",104
"84",105
"85",106
"86",108
"87",109
"88",110
"89",111
"90",112
"91",113
"92",114
"93",115
"94",116
"95",117
"96",118
